N	2gram	Bakhtin_Pr_4	PoTuStor
1	может быть	23	17
2	и в	46	16
3	и пр	2	12
4	прежде всего	9	9
5	таким образом	4	9
6	в этом	16	9
7	мы можем	4	9
8	и только	3	9
9	совершенно не	4	8
10	и его	6	8
11	и с	7	8
12	точки зрения	11	8
13	не может	19	8
14	с его	5	7
15	сказать что	2	7
16	не только	14	7
17	и это	3	6
18	и к	9	6
19	с точки	9	6
20	самом деле	4	6
21	для него	2	6
22	при этом	5	6
23	конечно не	8	6
24	отношение к	3	5
25	все эти	4	5
26	что такое	2	5
27	ни в	6	5
28	еще не	7	5
29	как бы	19	5
30	в него	6	5
31	в нем	17	4
32	и их	3	4
33	но и	12	4
34	так и	4	4
35	все это	6	4
36	хотя бы	2	4
37	и все	9	4
38	мысли и	2	4
39	так как	5	4
40	и не	27	4
41	как мы	12	4
42	можно сказать	4	4
43	и наконец	4	4
44	и даже	3	4
45	и на	11	4
46	в этой	3	4
47	с ее	3	4
48	все что	2	4
49	только в	6	4
50	но в	6	4
51	в его	9	4
52	в этих	4	3
53	что в	4	3
54	жизни и	5	3
55	во всех	5	3
56	могут быть	2	3
57	вместе с	2	3
58	сих пор	8	3
59	в большинстве	9	3
60	отношения к	2	3
61	в одном	11	3
62	к себе	6	3
63	этом смысле	2	3
64	те же	2	3
65	большинстве случаев	8	3
66	в том	9	3
67	а в	2	3
68	том что	4	3
69	и как	2	3
70	то что	4	3
71	их в	3	3
72	на этом	3	3
73	только на	3	3
74	в общем	2	3
75	во всяком	2	3
76	до сих	8	3
77	между ними	10	3
78	не менее	2	2
79	нет и	2	2
80	этих трех	2	2
81	поэтому и	2	2
82	не могут	3	2
83	что и	3	2
84	же как	2	2
85	сознания и	2	2
86	на границе	4	2
87	никогда не	6	2
88	для этого	2	2
89	если мы	5	2
90	того же	3	2
91	и так	2	2
92	из этих	3	2
93	с этим	2	2
94	в жизни	5	2
95	в свое	2	2
96	то же	6	2
97	с нею	2	2
98	и через	2	2
99	не знает	4	2
100	только и	2	2
101	и других	4	2
102	с помощью	3	2
103	что он	6	2
104	мы не	4	2
105	в одно	2	2
106	и т.п	14	2
107	на два	3	2
108	что мы	2	2
109	у него	5	2
110	и по	2	2
111	и для	3	2
112	нам кажется	5	2
113	войти в	3	2
114	для нас	2	2
115	да еще	2	2
116	как и	12	2
117	они не	2	2
118	так же	3	2
119	но это	6	2
120	друг на	2	2
121	есть в	6	2
122	мы уже	3	2
123	он не	4	2
124	образов и	2	2
125	и этим	3	2
126	и говорить	2	2
127	есть и	2	2
128	всех его	3	2
129	на друга	2	2
130	в пределах	10	2
131	ту же	2	2
132	было бы	3	2
133	кажется что	3	2
134	но ведь	2	2
135	о том	5	2
136	оно и	2	2
137	в самом	9	2
138	во сне	2	2
139	за пределы	5	2
140	в своей	3	2
141	и о	3	2
142	к другим	2	2
143	с ним	2	2
144	к ним	4	2
145	почти не	2	2
146	себя и	3	2
