N	2gram	Ircho_Kome_2	Myslijsy
1	потому что	6	52
2	и в	26	39
3	может быть	11	27
4	в том	11	26
5	только в	4	25
6	что в	9	22
7	не может	3	22
8	так как	4	21
9	не только	7	21
10	в нем	6	20
11	но и	10	20
12	и не	14	18
13	том что	9	16
14	так что	5	16
15	не в	2	15
16	в этом	10	15
17	если бы	9	14
18	отношению к	3	13
19	так и	12	13
20	по отношению	3	13
21	таким образом	6	13
22	было бы	8	12
23	мы не	2	10
24	то что	6	10
25	как в	3	10
26	и что	2	10
27	для нас	3	9
28	как и	4	9
29	тем что	3	9
30	но в	3	9
31	в одном	2	8
32	но не	3	8
33	вместе с	9	8
34	со стороны	2	8
35	точки зрения	4	8
36	с другой	2	7
37	в ней	3	7
38	в истории	5	7
39	с этим	5	7
40	это не	2	7
41	в этих	4	7
42	не менее	4	6
43	независимо от	5	6
44	еще не	6	6
45	что на	3	6
46	как бы	2	6
47	что и	7	6
48	все же	4	6
49	и т	2	6
50	то же	3	6
51	того как	3	6
52	с тем	5	5
53	для всех	3	5
54	вовсе не	2	5
55	в его	4	5
56	то это	2	5
57	в первом	2	5
58	во всех	3	5
59	а в	3	5
60	и для	4	5
61	не имеет	3	5
62	друг друга	3	5
63	и его	12	5
64	не следует	2	5
65	между тем	4	5
66	однако в	2	4
67	вопрос о	3	4
68	этом смысле	2	4
69	прежде всего	4	4
70	не более	2	4
71	же время	3	4
72	в действительности	2	4
73	к тому	12	4
74	от того	2	4
75	в каждом	3	4
76	не по	4	4
77	т п	2	4
78	не было	3	4
79	из этих	4	4
80	в то	6	4
81	бы в	2	4
82	в самой	3	3
83	что это	4	3
84	тому что	4	3
85	в них	4	3
86	столь же	9	3
87	и во	2	3
88	и от	4	3
89	и это	2	3
90	представить себе	3	3
91	друг другу	3	3
92	только потому	2	3
93	с самого	2	3
94	когда в	2	3
95	в этой	3	3
96	в своем	6	3
97	того же	3	3
98	одной стороны	2	3
99	по поводу	3	3
100	в другой	2	3
101	в своей	3	3
102	и их	3	3
103	для того	5	3
104	никто не	3	3
105	в мире	2	3
106	связи с	3	3
107	в самом	4	3
108	то ни	2	3
109	с одной	2	3
110	той же	3	3
111	что для	4	3
112	в глазах	2	3
113	что по	2	3
114	во всяком	2	3
115	хотя и	4	3
116	одно из	2	3
117	он не	2	3
118	и все	2	3
119	с и	4	3
120	и с	5	3
121	могла бы	3	2
122	и есть	2	2
123	с этой	3	2
124	бы то	2	2
125	что именно	2	2
126	но если	3	2
127	о его	4	2
128	как мы	4	2
129	же в	4	2
130	ни было	2	2
131	в г	17	2
132	есть для	2	2
133	жизни и	3	2
134	но все	3	2
135	если не	2	2
136	чем в	2	2
137	после этого	2	2
138	того чтобы	6	2
139	ни одна	2	2
140	и если	2	2
141	одним из	2	2
142	на что	2	2
143	в виду	2	2
144	в целом	4	2
145	из этого	2	2
146	на основании	5	2
147	в их	3	2
148	еще более	2	2
149	в течение	2	2
150	на этот	4	2
151	или в	3	2
152	хотя бы	2	2
153	в начале	4	2
154	как будто	4	2
155	в один	2	2
156	о том	6	2
157	в которой	5	2
158	в других	2	2
159	б и	4	2
160	мы можем	3	2
