N	2gram	Berdyaev_V_1	Problema
1	и в	16	44
2	и не	20	35
3	не есть	6	35
4	потому что	4	25
5	то что	9	23
6	в том	3	21
7	только в	2	19
8	а не	7	18
9	в этом	4	17
10	для нас	2	16
11	не только	2	14
12	и то	2	14
13	не в	3	13
14	и т	2	13
15	т д	2	13
16	но в	3	12
17	том что	2	12
18	то это	3	10
19	но и	5	10
20	как и	4	10
21	так и	4	10
22	это не	2	9
23	в нем	4	9
24	не имеет	3	9
25	как бы	5	9
26	так как	9	9
27	что он	4	9
28	в его	4	9
29	что и	3	9
30	во всяком	2	9
31	и это	2	9
32	что в	3	8
33	ни в	3	8
34	того что	5	8
35	что мы	4	8
36	но это	3	8
37	уже не	2	7
38	все эти	3	7
39	и что	3	7
40	с ним	2	7
41	и потому	7	7
42	мы не	2	7
43	никогда не	3	6
44	жизни и	3	6
45	нет ничего	3	6
46	не было	3	5
47	в конце	3	5
48	да и	2	5
49	что они	7	5
50	с тем	2	5
51	и сам	2	5
52	и есть	4	5
53	хотя и	5	5
54	в ней	4	5
55	все это	5	5
56	а в	2	5
57	еще не	8	5
58	в своей	3	5
59	тому что	3	4
60	в чем	3	4
61	можно было	2	4
62	тем что	2	4
63	прежде всего	2	3
64	к тому	3	3
65	есть уже	2	3
66	для него	2	3
67	когда в	2	3
68	не так	2	3
69	самого себя	2	3
70	говорить о	4	3
71	но не	2	3
72	если не	3	3
73	и все	4	3
74	все равно	2	3
75	и тогда	2	3
76	хотя бы	3	3
77	что их	2	2
78	в этих	3	2
79	что все	4	2
80	ее и	2	2
81	в котором	4	2
82	и за	2	2
83	и будет	3	2
84	его не	2	2
85	будет уже	2	2
86	нас и	3	2
87	является в	2	2
88	для них	2	2
89	на нас	2	2
90	и во	2	2
91	а к	2	2
92	от него	2	2
93	во всех	3	2
94	а с	2	2
95	и для	3	2
96	мы и	2	2
97	могут быть	2	2
