N	3gram	Vinokur_Vv_1	Myslijsy
1	в том что	12	16
2	смысле этого слова	2	7
3	то же время	5	5
4	по крайней мере	4	5
5	в то же	5	5
6	не в том	2	5
7	по отношению к	4	5
8	с другой стороны	5	4
9	не только в	4	4
10	вместе с тем	3	4
11	само по себе	3	3
12	тем не менее	8	3
13	до сих пор	5	3
14	и т д	37	3
15	с одной стороны	4	3
16	не может быть	8	3
17	только в том	2	3
18	для того чтобы	21	3
19	потому что он	2	3
20	можно сказать что	3	2
21	в большей части	2	2
22	и той же	2	2
23	того что уже	2	2
24	в собственном смысле	2	2
25	и в самом	3	2
26	в этом отношении	3	2
27	но вместе с	2	2
28	и в том	3	2
29	в первом случае	2	2
30	сама по себе	3	2
31	в том чтобы	5	2
32	не могут быть	2	2
33	и т п	5	2
34	одной и той	2	2
