N	2gram	Vinokur_St_3	UchenyiS
1	и в	25	14
2	а не	5	10
3	не только	12	10
4	и не	10	8
5	прежде всего	10	8
6	то что	12	7
7	в этом	24	7
8	не может	7	7
9	может быть	19	6
10	все это	8	5
11	и только	2	5
12	то же	5	5
13	но и	9	4
14	в этой	14	4
15	в их	3	4
16	в россии	6	4
17	с другой	5	4
18	что такое	7	4
19	но в	5	3
20	как и	4	3
21	все же	4	3
22	в своей	4	3
23	для этого	2	3
24	формы в	2	3
25	же время	3	3
26	другой стороны	5	3
27	для него	3	3
28	это не	7	3
29	в то	7	3
30	не как	2	3
31	было бы	7	3
32	этой области	2	3
33	в области	6	3
34	к сожалению	2	3
35	у нас	4	3
36	том что	15	2
37	но не	2	2
38	в том	20	2
39	мы не	2	2
40	с его	3	2
41	крайней мере	4	2
42	не в	6	2
43	всех этих	3	2
44	и для	4	2
45	но это	4	2
46	должна была	4	2
47	этом смысле	4	2
48	не столько	2	2
49	если бы	4	2
50	только в	6	2
51	и с	4	2
52	тем что	19	2
53	сих пор	2	2
54	могут быть	2	2
55	что он	19	2
56	все они	3	2
57	и у	2	2
58	в системе	3	2
59	как раз	3	2
60	до сих	2	2
61	что мы	3	2
62	в конце	6	2
63	этого термина	2	2
64	что все	3	2
65	этом отношении	4	2
66	в самом	2	2
67	в некоторых	3	2
68	ничего не	4	2
69	самом деле	2	2
70	а как	4	2
71	по крайней	4	2
72	в его	12	2
73	между тем	6	2
74	конце концов	3	2
75	таким образом	10	2
76	это было	8	2
