N	2gram	Vygotskiy__1	formyVre
1	и в	23	46
2	в этом	17	22
3	прежде всего	10	14
4	вовсе не	3	13
5	и его	6	12
6	только в	6	11
7	не только	16	11
8	во всех	3	11
9	в том	24	10
10	как бы	11	10
11	точки зрения	26	10
12	но в	5	10
13	не в	4	9
14	вместе с	9	9
15	но и	14	9
16	и не	9	9
17	связи с	3	8
18	как и	14	8
19	в его	14	8
20	жизни и	2	8
21	то же	8	8
22	того чтобы	17	8
23	для того	15	8
24	с точки	18	8
25	потому что	6	8
26	всех этих	2	7
27	в них	2	7
28	в одном	4	7
29	может быть	14	7
30	то что	17	7
31	так и	5	7
32	и на	8	7
33	никогда не	2	6
34	и все	5	6
35	при этом	4	6
36	как мы	5	6
37	все же	3	6
38	все это	6	6
39	и наконец	2	6
40	в основе	8	6
41	так как	7	6
42	и с	9	6
43	в частности	2	5
44	в своем	3	5
45	с этим	6	5
46	по существу	4	5
47	в то	7	5
48	но не	4	5
49	он не	5	5
50	что в	14	5
51	все эти	4	5
52	в смысле	2	5
53	должно быть	2	5
54	уже в	3	4
55	с этой	6	4
56	из этих	3	4
57	человека и	3	4
58	же время	2	4
59	том что	21	4
60	что они	3	4
61	с другом	4	4
62	друг с	4	4
63	том же	2	4
64	в котором	4	4
65	как в	4	4
66	отношения к	3	4
67	а не	3	4
68	их в	4	4
69	в себе	6	4
70	о том	6	4
71	о чем	2	3
72	не является	9	3
73	к этому	4	3
74	как уже	7	3
75	с помощью	13	3
76	к тому	4	3
77	на первый	2	3
78	в море	2	3
79	что он	7	3
80	а затем	5	3
81	и как	5	3
82	тем более	5	3
83	к вопросу	2	3
84	в качестве	9	3
85	для него	2	3
86	хотя и	2	3
87	слова и	5	3
88	ее в	2	3
89	всего в	2	3
90	целый ряд	4	3
91	таким образом	26	3
92	в их	3	3
93	уже не	2	3
94	того что	15	3
95	и даже	2	3
96	а в	2	3
97	в которых	3	3
98	тем что	6	3
99	в другом	7	3
100	же самое	3	3
101	в этих	2	3
102	не могли	2	3
103	на этом	2	2
104	только для	3	2
105	все основные	2	2
106	и более	5	2
107	друг другу	3	2
108	друг от	3	2
109	говорить о	2	2
110	лежит в	2	2
111	с другой	10	2
112	и других	3	2
113	в одной	3	2
114	что все	4	2
115	представление о	2	2
116	первый план	2	2
117	одном из	2	2
118	по себе	5	2
119	можно сказать	5	2
120	в отношении	10	2
121	именно в	6	2
122	мы видим	4	2
123	в этой	7	2
124	с тем	7	2
125	между ними	2	2
126	смысле слова	3	2
127	и пр	2	2
128	она не	3	2
129	было бы	4	2
130	со всеми	2	2
131	как явление	2	2
132	и к	4	2
133	от друга	3	2
134	в сущности	6	2
135	словом и	2	2
136	наконец в	2	2
137	и потому	2	2
138	один из	2	2
139	сих пор	4	2
140	мы видели	2	2
141	строго говоря	2	2
142	и до	2	2
143	не может	12	2
144	если не	3	2
145	этом отношении	4	2
146	с одной	8	2
147	в двух	2	2
148	связи между	3	2
149	и вот	2	2
150	лишь в	6	2
151	так же	16	2
152	как на	4	2
153	другом месте	6	2
154	почти всегда	2	2
155	в данном	2	2
156	от этого	2	2
157	и от	3	2
158	могут быть	3	2
159	в конце	2	2
160	как он	3	2
161	и это	3	2
162	там где	2	2
163	как это	2	2
164	во всяком	3	2
165	до сих	4	2
