N	2gram	Bakhtin_Pr_1	Myshleni
1	в том	8	33
2	том что	3	27
3	точки зрения	8	26
4	то что	8	20
5	в этом	15	19
6	с точки	6	18
7	того что	2	17
8	и в	38	15
9	не только	9	15
10	что в	7	14
11	таким образом	10	14
12	что он	2	12
13	того чтобы	2	12
14	в самом	7	11
15	в целом	3	10
16	но и	9	10
17	было бы	8	10
18	для того	2	10
19	мы можем	6	10
20	в своем	5	9
21	может быть	26	9
22	не является	3	9
23	не может	27	9
24	о том	4	9
25	связи с	2	9
26	так и	5	8
27	к действительности	3	8
28	никогда не	5	8
29	не в	7	8
30	и что	2	8
31	если бы	3	8
32	высшей степени	5	7
33	одной стороны	3	7
34	с одной	3	7
35	и не	42	7
36	в высшей	5	7
37	на основе	6	7
38	как бы	22	7
39	он не	3	7
40	едва ли	3	7
41	что это	2	6
42	в частности	2	6
43	как мы	7	6
44	в виду	4	6
45	на то	2	6
46	по отношению	21	6
47	в связи	2	6
48	с другой	7	6
49	сказать что	4	6
50	в истории	2	6
51	мы должны	2	6
52	как это	2	6
53	но в	4	6
54	вовсе не	2	6
55	и к	3	6
56	как и	7	6
57	самом деле	6	6
58	к которому	4	6
59	что эта	2	6
60	там где	6	6
61	это не	5	5
62	смысле слова	2	5
63	и др	8	5
64	с помощью	7	5
65	и даже	3	5
66	по существу	2	5
67	все что	3	5
68	отношению к	19	5
69	приводит к	3	5
70	показать что	2	5
71	то же	5	5
72	теории познания	2	5
73	можно было	4	5
74	независимо от	13	4
75	прежде всего	13	4
76	что все	2	4
77	по поводу	2	4
78	несмотря на	3	4
79	все это	3	4
80	в них	5	4
81	что оно	2	4
82	не имеет	9	4
83	а в	6	4
84	и с	17	4
85	в конечном	4	4
86	в начале	2	4
87	с его	2	4
88	конечном счете	4	4
89	к этому	2	4
90	все же	6	4
91	в своей	7	4
92	как в	4	4
93	хотя бы	4	4
94	и его	16	4
95	значение для	3	4
96	только в	13	4
97	мы будем	3	3
98	не можем	2	3
99	при этом	5	3
100	точка зрения	3	3
101	данном случае	4	3
102	и только	4	3
103	этом отношении	2	3
104	все эти	5	3
105	в самой	2	3
106	они не	3	3
107	лишь в	2	3
108	с другими	3	3
109	в основе	5	3
110	с ним	5	3
111	мы имеем	2	3
112	и все	3	3
113	о которых	2	3
114	но не	12	3
115	действительности и	3	3
116	одной из	3	3
117	на самом	4	3
118	тем самым	4	3
119	а не	5	3
120	из которых	2	3
121	или в	2	3
122	в данном	4	3
123	в отличие	5	3
124	и ее	2	3
125	и это	3	3
126	отличие от	5	3
127	ничего не	6	3
128	как только	3	2
129	чем в	2	2
130	не могут	2	2
131	и есть	2	2
132	в этих	2	2
133	столь же	2	2
134	или иной	2	2
135	можно сказать	2	2
136	ни в	11	2
137	смысле мы	2	2
138	и как	8	2
139	и более	2	2
140	логику и	2	2
141	не дает	2	2
142	случае не	2	2
143	с действительностью	3	2
144	только его	3	2
145	той или	2	2
146	в котором	2	2
147	и тем	3	2
148	могут быть	5	2
149	в некоторых	2	2
150	в их	10	2
151	и других	2	2
152	которую мы	3	2
153	должно быть	5	2
154	в других	4	2
155	познания но	2	2
156	не следует	2	2
157	в более	4	2
158	в применении	3	2
159	к себе	2	2
160	говорить о	3	2
161	же самое	2	2
162	также и	3	2
163	во всем	2	2
164	к личности	2	2
165	или как	3	2
166	отнюдь не	19	2
167	следует что	2	2
168	он должен	2	2
169	этом смысле	3	2
170	связь с	3	2
171	к его	2	2
172	мы увидим	3	2
173	за пределы	12	2
174	том же	2	2
175	в его	43	2
176	нет и	3	2
177	должен быть	2	2
178	что и	2	2
179	во всех	11	2
180	как нечто	3	2
181	и для	11	2
182	но с	3	2
183	в себя	2	2
184	и эта	2	2
185	к чему	2	2
186	тем что	2	2
187	в себе	4	2
188	в другом	2	2
189	и вообще	2	2
190	двух миров	2	2
