N	2gram	Potebnia_M_1	TeoriaLi
1	в мире	3	24
2	не только	21	18
3	тогда как	2	16
4	и не	18	16
5	а в	5	14
6	и в	39	13
7	может быть	27	12
8	так и	13	12
9	то есть	42	12
10	при этом	6	11
11	в этом	15	11
12	в том	26	11
13	но не	8	10
14	а не	21	10
15	и его	5	10
16	в его	5	9
17	то же	6	9
18	в душе	11	8
19	что в	22	8
20	отношению к	13	8
21	но и	20	8
22	по отношению	13	8
23	в себе	13	7
24	том что	16	7
25	точки зрения	8	7
26	в то	4	7
27	только в	25	7
28	же время	4	6
29	еще не	6	6
30	как бы	6	6
31	но в	9	6
32	однако в	4	5
33	в своем	3	5
34	как и	9	5
35	не в	15	5
36	в самом	3	5
37	в нем	20	5
38	как в	10	5
39	он не	3	5
40	уже не	2	5
41	тем самым	4	5
42	с другой	7	5
43	между тем	5	5
44	не менее	6	4
45	в свою	4	4
46	субъекта и	4	4
47	в своей	3	4
48	то что	10	4
49	в их	2	4
50	не может	22	4
51	в слове	8	4
52	сказать что	3	4
53	хотя и	3	4
54	но он	2	4
55	слова в	2	3
56	никогда не	4	3
57	в этих	7	3
58	он должен	2	3
59	этом смысле	4	3
60	прежде всего	4	3
61	а только	4	3
62	тем не	6	3
63	свою очередь	4	3
64	для него	4	3
65	того что	8	3
66	мог бы	2	3
67	и потому	5	3
68	не все	2	3
69	с ее	2	3
70	другой стороны	5	3
71	таким образом	13	3
72	и что	10	3
73	и по	6	3
74	или в	2	3
75	и то	3	3
76	потому что	52	3
77	речи и	10	3
78	что можно	3	3
79	в этой	3	3
80	к которому	3	3
81	сама по	3	2
82	но на	2	2
83	только не	2	2
84	если бы	14	2
85	была бы	2	2
86	могут быть	9	2
87	за пределы	2	2
88	того же	3	2
89	это не	7	2
90	одного и	2	2
91	вовсе не	5	2
92	по себе	10	2
93	к тому	4	2
94	но как	3	2
95	и того	2	2
96	и как	6	2
97	одной стороны	3	2
98	в противном	3	2
99	во втором	5	2
100	мы в	2	2
101	имеет место	2	2
102	в виду	2	2
103	не могло	3	2
104	и тем	3	2
105	в целом	2	2
106	слова не	2	2
107	во всех	5	2
108	вместе с	8	2
109	образом и	2	2
110	со стороны	8	2
111	вытекает из	2	2
112	и для	5	2
113	с одной	3	2
114	к одному	2	2
115	и о	2	2
116	с точки	3	2
117	и даже	4	2
118	и притом	4	2
119	так же	5	2
120	не ограничивается	2	2
121	с языком	2	2
122	могла бы	2	2
123	как будто	2	2
124	не следует	5	2
125	о том	2	2
126	и это	3	2
127	в которой	2	2
128	на деле	4	2
129	противном случае	3	2
