N	2gram	Nazirov_Tr_1	Myslijsy
1	потому что	2	46
2	то есть	3	34
3	в том	2	32
4	и в	18	30
5	может быть	7	28
6	то же	5	23
7	не только	8	21
8	но и	4	19
9	том что	4	18
10	то что	4	18
11	что в	4	17
12	в себе	4	16
13	не в	2	15
14	и не	7	15
15	что и	2	13
16	точно так	2	12
17	так и	5	11
18	в душе	2	10
19	как и	5	10
20	как в	3	10
21	и что	4	10
22	в этом	9	10
23	в то	5	10
24	для него	3	9
25	в нем	4	9
26	в самом	2	8
27	и то	2	8
28	к тому	2	7
29	так что	2	7
30	с тем	2	7
31	тем самым	3	7
32	тем что	2	7
33	что он	6	6
34	но это	4	6
35	то и	2	6
36	не может	5	6
37	уже не	2	6
38	не имеет	2	6
39	с ним	3	6
40	уже в	3	5
41	не могут	2	5
42	и как	3	5
43	же время	6	5
44	в своем	3	5
45	еще не	4	5
46	если б	2	5
47	должно быть	3	5
48	что я	4	5
49	что это	5	4
50	столь же	2	4
51	этот образ	4	4
52	все это	4	4
53	в его	3	4
54	один из	3	4
55	и его	6	4
56	он не	2	4
57	по поводу	2	4
58	и это	2	4
59	прежде всего	4	3
60	и все	4	3
61	что все	2	3
62	в образе	6	3
63	при этом	3	3
64	что она	2	3
65	как бы	7	3
66	никто не	3	3
67	от всего	2	3
68	в целом	4	3
69	к нему	3	3
70	друг друга	2	3
71	так же	4	3
72	в таком	2	3
73	и на	7	3
74	его в	2	3
75	в первом	2	3
76	перед нами	2	2
77	но все	2	2
78	об этом	4	2
79	в одном	2	2
80	а как	2	2
81	отношение к	2	2
82	что с	3	2
83	в ее	2	2
84	в этой	4	2
85	у него	6	2
86	несмотря на	5	2
87	все же	5	2
88	и до	2	2
89	в виде	2	2
90	и даже	4	2
91	тут же	2	2
92	ни в	2	2
93	еще раз	2	2
94	о том	2	2
95	и с	7	2
