N	2gram	Tiupa_Disk_1	Komedia
1	и в	16	22
2	и не	11	21
3	том что	19	13
4	в том	23	12
5	таким образом	3	12
6	со стороны	7	11
7	потому что	4	10
8	в самом	3	9
9	в своем	6	8
10	что он	4	8
11	в его	7	8
12	что и	3	8
13	в этом	15	8
14	о том	8	8
15	о чем	2	7
16	об этом	2	7
17	при этом	13	7
18	в свою	3	7
19	то же	7	7
20	едва ли	2	7
21	а в	5	7
22	к этому	2	6
23	тому же	5	6
24	свою очередь	3	6
25	того же	3	6
26	еще не	14	6
27	к тому	5	6
28	может быть	17	6
29	и что	2	6
30	и его	2	6
31	в то	3	6
32	не менее	2	5
33	связи с	4	5
34	что в	4	5
35	же время	4	5
36	прежде всего	11	5
37	а по	2	5
38	хотя и	2	5
39	не только	28	5
40	в своей	5	5
41	отношение к	4	5
42	из них	3	5
43	по отношению	9	5
44	тем что	3	5
45	более чем	2	5
46	в которых	4	5
47	к себе	2	5
48	но в	8	5
49	отнюдь не	8	4
50	однако в	3	4
51	между собой	2	4
52	с другой	10	4
53	все же	3	4
54	не в	7	4
55	то что	5	4
56	когда он	2	4
57	но и	14	4
58	то ли	2	4
59	а не	22	4
60	точки зрения	3	4
61	на себя	2	4
62	в себе	7	4
63	так и	8	4
64	не является	4	4
65	хотя бы	3	4
66	с его	4	3
67	в частности	9	3
68	никогда не	2	3
69	на ее	2	3
70	в них	4	3
71	в какой	2	3
72	с этим	3	3
73	одного из	2	3
74	в нем	9	3
75	далеко не	10	3
76	и к	4	3
77	в ее	3	3
78	как и	16	3
79	в начале	2	3
80	в этой	2	3
81	по своему	3	3
82	одной стороны	9	3
83	к ним	3	3
84	как бы	5	3
85	один из	3	3
86	отношению к	9	3
87	в целом	4	3
88	приводит к	2	3
89	дело с	2	3
90	не может	9	3
91	с одной	9	3
92	что не	4	3
93	столь же	3	3
94	и даже	3	3
95	одной из	4	3
96	во всяком	2	3
97	представляет собой	17	3
98	же самое	2	3
99	в основе	7	2
100	уже в	2	2
101	состоит в	9	2
102	а о	2	2
103	в качестве	34	2
104	и без	2	2
105	не как	4	2
106	как в	10	2
107	это не	3	2
108	а сам	2	2
109	для обозначения	3	2
110	и все	2	2
111	в одном	2	2
112	но при	3	2
113	это в	2	2
114	для понимания	2	2
115	стороны и	2	2
116	в г	2	2
117	отличие от	5	2
118	в силу	5	2
119	х годов	2	2
120	что с	2	2
121	в пределах	2	2
122	на его	4	2
123	в сущности	2	2
124	за пределы	2	2
125	при всей	3	2
126	и о	4	2
127	одним из	2	2
128	известной степени	2	2
129	а также	8	2
130	и он	2	2
131	в котором	5	2
132	не с	3	2
133	во всех	5	2
134	дело не	2	2
135	в их	5	2
136	как мы	2	2
137	другой стороны	3	2
138	целый ряд	2	2
139	отношения к	2	2
140	не было	7	2
141	человека в	2	2
142	не приходится	2	2
143	в эпоху	5	2
144	роль в	7	2
145	в своих	3	2
146	и на	5	2
147	ли не	3	2
148	между тем	4	2
149	и во	2	2
150	что касается	2	2
151	и ее	2	2
152	в другом	2	2
153	исходя из	2	2
154	текста не	2	2
155	в виду	2	2
