N	2gram	Vygotskiy__3	Sotsiolo
1	все это	3	7
2	в том	25	5
3	в этом	13	5
4	не в	12	3
5	как же	2	3
6	для нас	8	3
7	и только	3	3
8	в его	5	3
9	и в	38	3
10	не только	12	3
11	как только	3	2
12	было бы	12	2
13	как будто	4	2
14	она может	3	2
15	только в	4	2
16	в конце	2	2
17	по существу	2	2
18	и мы	13	2
19	таким образом	12	2
20	том что	14	2
21	далеко не	3	2
22	то же	10	2
23	то что	35	2
24	главным образом	3	2
25	может быть	19	2
26	и что	18	2
27	но и	5	2
28	дело не	2	2
29	очевидно что	2	2
30	как бы	14	2
31	должна быть	5	2
32	что в	20	2
