N	2gram	Trubetskoy_1	Psycholo
1	то что	18	32
2	и в	23	31
3	в том	30	30
4	то есть	2	26
5	что в	8	23
6	может быть	16	22
7	таким образом	31	20
8	при помощи	3	20
9	ясно что	8	19
10	при этом	9	19
11	совершенно ясно	2	19
12	так как	7	18
13	не может	17	17
14	как и	9	16
15	том что	19	16
16	и не	8	16
17	точки зрения	13	15
18	только в	6	14
19	не только	7	13
20	что и	7	13
21	так же	8	12
22	если мы	4	12
23	в этом	12	12
24	в самом	8	11
25	не в	8	11
26	в области	4	11
27	на то	9	10
28	в сущности	2	10
29	того что	6	10
30	потому что	9	10
31	самом деле	12	9
32	никогда не	4	8
33	вместе с	6	8
34	все это	11	8
35	и что	8	8
36	во всяком	2	8
37	что мы	4	8
38	что он	7	7
39	том чтобы	2	7
40	есть в	2	7
41	только тогда	2	7
42	заключается в	2	7
43	того чтобы	8	7
44	о том	7	7
45	что это	5	6
46	вовсе не	2	6
47	очевидно что	3	6
48	одной стороны	2	6
49	было бы	3	6
50	если бы	8	6
51	из этих	8	6
52	всяком случае	2	6
53	отнюдь не	2	6
54	целый ряд	4	6
55	а в	3	6
56	для того	8	6
57	в психологии	3	6
58	в его	5	6
59	и все	7	5
60	тогда когда	3	5
61	все же	13	5
62	так что	5	5
63	с одной	3	5
64	то время	2	5
65	для нас	3	5
66	она не	2	5
67	несмотря на	6	5
68	совершенно не	3	5
69	как бы	10	5
70	в целом	5	5
71	в процессе	2	5
72	оказывается что	5	5
73	другой стороны	5	5
74	и для	6	5
75	то же	4	5
76	с другой	6	5
77	это есть	4	5
78	иначе говоря	4	5
79	к психологии	2	5
80	в то	6	5
81	как будто	5	5
82	к тому	8	4
83	в которой	5	4
84	в котором	2	4
85	в виду	2	4
86	прежде всего	3	4
87	тому что	2	4
88	столь же	5	4
89	и так	2	4
90	одной и	2	4
91	в себе	5	4
92	отличие от	3	4
93	по существу	6	4
94	же как	3	4
95	одна из	2	4
96	у него	5	4
97	и если	6	4
98	у нас	3	4
99	от себя	2	4
100	в этих	3	4
101	к этому	5	4
102	в совершенно	3	4
103	те же	2	4
104	и у	4	4
105	в своих	2	4
106	с этой	3	4
107	в результате	9	4
108	мы можем	6	4
109	этого слова	2	4
110	между тем	12	4
111	не могут	4	3
112	как на	4	3
113	с тем	2	3
114	только не	2	3
115	в частности	2	3
116	в своем	10	3
117	точку зрения	2	3
118	что у	2	3
119	в состоянии	4	3
120	только при	2	3
121	с в	3	3
122	та же	3	3
123	рассматриваться как	3	3
124	что все	5	3
125	представление о	3	3
126	должна быть	5	3
127	представить себе	2	3
128	вопрос о	3	3
129	а потому	5	3
130	и к	5	3
131	мы знаем	10	3
132	тому же	6	3
133	в силу	7	3
134	не будет	5	3
135	но не	2	3
136	все что	9	3
137	до сих	8	3
138	из которых	4	3
139	в этой	6	3
140	хотя и	4	3
141	он не	3	3
142	сих пор	8	3
143	не есть	2	3
144	жизни и	2	3
145	так и	10	3
146	что при	6	3
147	не было	2	3
148	что оно	3	3
149	и других	2	3
150	от того	3	3
151	должны быть	3	3
152	это обстоятельство	2	3
153	тем же	2	3
154	и по	3	3
155	в таком	4	3
156	в которых	2	3
157	и только	2	3
158	с этим	11	3
159	во всем	3	3
160	все то	2	3
161	в конце	4	3
162	что эти	2	3
163	и это	3	3
164	что эта	4	3
165	конце концов	4	3
166	что по	3	3
167	но в	4	3
168	в основе	2	2
169	не менее	7	2
170	на вопрос	4	2
171	такой же	2	2
172	этих двух	2	2
173	уже и	3	2
174	независимо от	2	2
175	можно ли	2	2
176	по этому	2	2
177	но даже	3	2
178	до тех	2	2
179	и состоит	2	2
180	и без	5	2
181	в них	2	2
182	том случае	4	2
183	целом ряде	3	2
184	и от	5	2
185	на долю	2	2
186	одного и	3	2
187	в жизни	3	2
188	ее и	3	2
189	в такой	4	2
190	с ним	6	2
191	том и	2	2
192	тем не	4	2
193	из всех	5	2
194	и сейчас	4	2
195	и потому	3	2
196	себя и	2	2
197	что они	2	2
198	более или	7	2
199	представления об	2	2
200	того же	9	2
201	всех других	2	2
202	настоящее время	2	2
203	что с	5	2
204	тот же	3	2
205	и может	3	2
206	него в	2	2
207	во внимание	2	2
208	и их	5	2
209	имеет место	2	2
210	том же	4	2
211	далеко не	5	2
212	на почве	3	2
213	даже в	3	2
214	гораздо более	2	2
215	в нем	3	2
216	мы видели	2	2
217	в противоречие	2	2
218	отношение к	4	2
219	из них	5	2
220	но и	9	2
221	или менее	7	2
222	что же	2	2
223	как мы	2	2
224	только что	3	2
225	отличается от	6	2
226	то и	2	2
227	в связи	3	2
228	в настоящее	2	2
229	знаем и	2	2
230	на самом	7	2
231	в себя	2	2
232	этой области	4	2
233	тем самым	3	2
234	к нему	2	2
235	с точки	8	2
236	от него	3	2
237	что для	4	2
238	к ним	2	2
239	как к	5	2
240	их в	2	2
241	и с	5	2
242	что только	2	2
243	мы все	2	2
244	одно из	3	2
245	но как	2	2
246	в сознании	6	2
247	и то	4	2
248	бы в	3	2
249	ту же	2	2
250	психологии в	2	2
251	если же	3	2
252	его в	5	2
253	из этого	6	2
254	тех же	2	2
255	почти все	2	2
256	только то	2	2
257	не то	3	2
258	и поэтому	2	2
259	сходство с	2	2
