N	2gram	Tiupa_Lite_3	EvropaiC
1	в том	12	31
2	и в	16	24
3	том что	8	20
4	не может	8	18
5	то что	12	17
6	может быть	12	15
7	все же	2	15
8	точки зрения	7	13
9	самом деле	3	12
10	в этом	14	12
11	между тем	3	11
12	отношению к	4	10
13	как бы	8	10
14	по отношению	4	10
15	во всех	2	10
16	так и	9	10
17	на то	2	9
18	при этом	15	9
19	как и	5	9
20	того же	2	9
21	что в	2	9
22	не в	10	8
23	в самом	3	8
24	так же	2	8
25	если бы	2	8
26	а и	2	8
27	с точки	3	8
28	не менее	2	7
29	к тому	6	7
30	но и	14	7
31	и не	22	7
32	по своей	3	7
33	о том	6	7
34	что он	5	7
35	по существу	4	7
36	того чтобы	2	7
37	для того	2	7
38	все они	2	6
39	с другой	6	6
40	в этой	8	6
41	несмотря на	2	6
42	того что	9	6
43	как на	3	6
44	и на	2	6
45	и при	2	6
46	еще не	6	6
47	что и	2	6
48	тогда как	17	6
49	в мире	16	6
50	только в	7	6
51	вместе с	5	6
52	именно в	5	5
53	тому же	5	5
54	в целом	5	5
55	другой стороны	2	5
56	и с	2	5
57	потому что	3	5
58	его в	2	5
59	но в	3	5
60	к этому	2	5
61	и к	3	5
62	в то	9	5
63	и если	4	5
64	в его	6	5
65	не только	14	5
66	и для	4	5
67	лишь в	5	5
68	в себе	6	5
69	как будто	4	5
70	далеко не	2	5
71	никогда не	4	4
72	в конце	2	4
73	из того	2	4
74	выше и	2	4
75	одним из	4	4
76	хотя и	4	4
77	отношение к	2	4
78	из них	4	4
79	должно быть	4	4
80	связи с	2	4
81	совершенно не	3	4
82	то же	9	4
83	в области	3	4
84	а лишь	2	3
85	с одной	4	3
86	вопрос о	2	3
87	как у	4	3
88	не вполне	2	3
89	так или	2	3
90	в нем	2	3
91	данном случае	4	3
92	в совершенно	2	3
93	то ни	2	3
94	и наконец	3	3
95	а в	5	3
96	это не	5	3
97	в начале	4	3
98	и потому	2	3
99	прежде всего	3	3
100	в жизни	8	3
101	у нас	2	3
102	даже в	4	3
103	или иначе	2	3
104	в данном	4	3
105	отличие от	5	3
106	в сторону	3	2
107	в частности	11	2
108	себя и	2	2
109	что у	2	2
110	с этой	2	2
111	к своим	2	2
112	вследствие этого	2	2
113	он все	2	2
114	как мы	2	2
115	для него	2	2
116	мы и	2	2
117	между людьми	2	2
118	же время	7	2
119	в свою	2	2
120	одной стороны	4	2
121	и сам	2	2
122	от себя	2	2
123	том чтобы	2	2
124	с ее	3	2
125	бы то	2	2
126	ни было	2	2
127	во втором	2	2
128	в глазах	3	2
129	с ними	2	2
130	одно из	4	2
131	то есть	5	2
132	в основе	5	2
133	отнюдь не	3	2
134	со своими	2	2
135	а затем	3	2
136	то в	3	2
137	так чтобы	2	2
138	но не	4	2
139	было бы	2	2
140	жизни и	3	2
141	в ту	2	2
142	но с	2	2
143	о которой	2	2
144	тем самым	7	2
145	усматривает в	3	2
146	и ее	2	2
147	в другом	6	2
148	не знает	2	2
149	если это	2	2
150	и только	2	2
