N	2gram	Nazirov_Vr_1	KulturaY
1	т е	3	32
2	и в	8	23
3	точки зрения	2	23
4	в том	3	22
5	не только	9	17
6	в этом	8	16
7	с точки	2	16
8	может быть	4	14
9	что в	7	13
10	не менее	2	12
11	том что	3	11
12	в его	3	11
13	и не	5	10
14	еще не	2	9
15	таким образом	2	9
16	уже не	2	8
17	в виду	4	8
18	и что	8	7
19	что он	4	6
20	при этом	4	6
21	не может	2	6
22	то же	5	6
23	связи с	3	6
24	о том	4	6
25	я не	3	5
26	как и	6	5
27	как бы	4	5
28	все же	6	5
29	в связи	3	5
30	а в	2	5
31	но это	2	5
32	тем более	2	5
33	тем что	3	5
34	далеко не	3	5
35	в чем	3	5
36	а также	2	4
37	для нас	4	4
38	столь же	2	4
39	в своей	2	4
40	и о	3	4
41	то что	7	4
42	целый ряд	4	4
43	как раз	2	4
44	в нашей	2	4
45	в своем	3	4
46	не было	5	4
47	в той	2	4
48	между тем	5	4
49	уже в	4	3
50	отнюдь не	2	3
51	это не	4	3
52	п в	2	3
53	как же	2	3
54	но как	2	3
55	он не	3	3
56	речь идет	3	3
57	отношение к	2	3
58	но и	7	3
59	а с	2	3
60	в ней	4	3
61	и с	6	3
62	в то	5	3
63	все это	4	2
64	в известном	2	2
65	о чем	2	2
66	это в	2	2
67	и как	3	2
68	в котором	6	2
69	его в	3	2
70	вместе с	2	2
71	он пишет	2	2
72	так в	2	2
73	что есть	3	2
74	так же	4	2
75	эти слова	3	2
76	в россии	5	2
77	но в	6	2
