N	2gram	Tiupa_Anal_3	Otkroven
1	и в	18	19
2	но и	13	13
3	и не	12	13
4	в этом	14	12
5	а не	9	11
6	не в	6	11
7	может быть	9	11
8	не только	22	11
9	и все	2	10
10	в нем	2	10
11	никогда не	5	9
12	не было	3	9
13	прежде всего	5	9
14	и он	2	8
15	лишь в	5	7
16	в глубине	2	7
17	он не	6	7
18	в его	7	7
19	все это	3	6
20	как и	14	6
21	то что	2	5
22	а в	10	5
23	о его	2	5
24	в том	9	5
25	для него	6	5
26	в этой	6	5
27	в самом	5	5
28	с его	8	4
29	что не	3	4
30	и его	13	4
31	все эти	2	4
32	не может	2	4
33	что в	9	4
34	это не	2	3
35	и вот	2	3
36	что он	4	3
37	еще не	6	3
38	и от	2	3
39	могут быть	2	3
40	и ее	2	3
41	в себе	2	3
42	было бы	3	3
43	когда он	2	3
44	в русской	7	3
45	о том	6	3
46	как бы	10	3
47	уже в	3	2
48	все же	4	2
49	что и	5	2
50	не есть	4	2
51	и для	2	2
52	с тем	2	2
53	так и	14	2
54	в своем	4	2
55	как к	2	2
56	к этому	3	2
57	по себе	4	2
58	и к	4	2
59	о которой	2	2
60	в ее	3	2
61	его не	3	2
62	том что	12	2
63	и на	4	2
64	что они	3	2
65	сказать что	2	2
66	тем что	2	2
67	личности и	2	2
68	мысль о	3	2
69	его в	3	2
70	ничего не	3	2
71	хотя и	2	2
72	но в	2	2
73	и потому	2	2
74	этом он	2	2
