N	2gram	Nazirov_Vr_1	Marksizm
1	может быть	4	28
2	и в	8	19
3	как бы	4	19
4	и не	5	19
5	не может	2	18
6	точки зрения	2	17
7	то же	5	16
8	и его	3	16
9	в этом	8	15
10	таким образом	2	14
11	не только	9	13
12	с точки	2	13
13	связи с	3	13
14	в нем	6	11
15	но и	7	10
16	том что	3	10
17	и т.п	2	10
18	для него	2	9
19	при этом	4	9
20	как и	6	9
21	отнюдь не	2	8
22	же время	5	8
23	в то	5	8
24	с его	3	8
25	никогда не	2	7
26	в связи	3	7
27	в том	3	7
28	его в	3	7
29	но в	6	7
30	одна из	2	7
31	и как	3	6
32	в свою	2	6
33	и все	7	6
34	между тем	5	6
35	так же	4	5
36	к этому	3	5
37	в его	3	5
38	все же	6	5
39	в той	2	5
40	тем более	2	5
41	это не	4	4
42	на то	3	4
43	то что	7	4
44	как раз	2	4
45	что он	4	4
46	– это	6	4
47	и ее	2	4
48	в себе	2	4
49	столь же	2	3
50	в этой	2	3
51	в ней	4	3
52	в котором	6	3
53	его и	2	3
54	а в	2	3
55	не было	5	3
56	в истории	4	3
57	о том	4	3
58	еще не	2	3
59	он не	3	3
60	в своей	2	3
61	на основе	2	3
62	и то	2	3
63	и это	2	3
64	место в	2	2
65	уже в	4	2
66	что в	7	2
67	мы знаем	2	2
68	он был	3	2
69	о чем	2	2
70	и у	3	2
71	одним из	3	2
72	в своем	3	2
73	отношения к	2	2
74	и даже	6	2
75	рядом с	2	2
76	и с	6	2
77	но как	2	2
78	в начале	6	2
79	у него	5	2
80	и о	3	2
81	а с	2	2
82	и он	2	2
83	тем что	3	2
84	далеко не	3	2
85	ответ на	2	2
86	вместе с	2	2
