N	2gram	Nazirov_Vr_1	KulturaY
1	и в	8	23
2	т е	3	22
3	не только	9	20
4	в том	3	19
5	в этом	8	18
6	и не	5	16
7	может быть	4	15
8	точки зрения	2	14
9	том что	3	11
10	но в	6	11
11	что в	7	10
12	то что	7	9
13	не может	2	9
14	уже не	2	8
15	и что	8	8
16	с точки	2	8
17	не менее	2	7
18	все же	6	7
19	но и	7	7
20	и с	6	7
21	это не	4	6
22	в этой	2	6
23	то же	5	6
24	между тем	5	6
25	я не	3	5
26	что он	4	5
27	об этом	5	5
28	еще не	2	5
29	несмотря на	4	5
30	в его	3	5
31	вместе с	2	5
32	все это	4	5
33	таким образом	2	5
34	целый ряд	4	5
35	и то	2	5
36	отнюдь не	2	4
37	в них	2	4
38	к этому	3	4
39	на то	3	4
40	мы знаем	2	4
41	для нас	4	4
42	что я	2	4
43	в нашей	2	4
44	как бы	4	4
45	в нем	6	4
46	так же	4	4
47	в связи	3	4
48	не было	5	4
49	и о	3	4
50	в то	5	4
51	в конце	3	4
52	уже в	4	3
53	у него	5	3
54	же время	5	3
55	а также	2	3
56	же в	2	3
57	п в	2	3
58	но это	2	3
59	связи с	3	3
60	в ней	4	3
61	он не	3	3
62	как раз	2	3
63	так в	2	3
64	а в	2	3
65	и его	3	3
66	тем что	3	3
67	на это	2	3
68	и это	2	3
69	в виду	4	3
70	же как	2	2
71	это в	2	2
72	никогда не	2	2
73	что у	3	2
74	и все	7	2
75	в одну	2	2
76	в свою	2	2
77	при этом	4	2
78	печати и	2	2
79	и даже	6	2
80	речь идет	3	2
81	за год	2	2
82	в своей	2	2
83	в своем	3	2
84	достоевского и	7	2
85	как и	6	2
86	в году	18	2
87	в той	2	2
88	и у	3	2
89	рядом с	2	2
90	в глазах	2	2
91	и далее	2	2
92	в своих	4	2
93	ответ на	2	2
94	отношения к	2	2
