N	2gram	Berdyaev_V_1	Myslijsy
1	потому что	4	49
2	для нас	2	31
3	и в	16	24
4	то что	9	20
5	и не	20	19
6	а не	7	18
7	в том	3	18
8	что в	3	16
9	не только	2	15
10	не в	3	13
11	но не	2	12
12	что мы	4	11
13	что и	3	11
14	мы не	2	11
15	только в	2	11
16	для него	2	10
17	так как	9	10
18	в нем	4	9
19	как бы	5	9
20	но и	5	9
21	а в	2	8
22	том что	2	8
23	в этом	4	8
24	могут быть	2	8
25	не могут	2	7
26	прежде всего	2	7
27	во всяком	2	7
28	во всех	3	7
29	как и	4	7
30	того что	5	7
31	тем что	2	7
32	в чем	3	7
33	не есть	6	6
34	и т	2	6
35	не было	3	6
36	не имеет	3	6
37	между тем	2	6
38	с ним	2	5
39	что они	7	5
40	тот же	3	5
41	что не	4	5
42	так и	4	5
43	в них	3	5
44	никогда не	3	4
45	а между	2	4
46	что он	4	4
47	уже не	2	4
48	одна из	2	4
49	еще не	8	4
50	в котором	4	4
51	если не	3	4
52	и что	3	4
53	от него	2	4
54	с тем	2	4
55	но в	3	4
56	на нас	2	3
57	это не	2	3
58	оно не	3	3
59	и все	4	3
60	человека и	6	3
61	но мы	2	3
62	хотя и	5	3
63	то это	3	3
64	все что	4	3
65	но это	3	3
66	вслед за	2	3
67	в ней	4	3
68	и во	2	3
69	не с	2	3
70	как не	3	3
71	и тогда	2	3
72	т д	2	3
73	не так	2	3
74	и для	3	3
75	его не	2	3
76	и то	2	3
77	в этих	3	3
78	которые не	2	3
79	и есть	4	2
80	что во	3	2
81	превращается в	3	2
82	для их	2	2
83	хотя бы	3	2
84	и это	2	2
85	а к	2	2
86	в жизни	3	2
87	что все	4	2
88	с его	3	2
89	все эти	3	2
90	в его	4	2
91	и потому	7	2
92	один из	2	2
93	все это	5	2
94	что есть	5	2
95	а с	2	2
96	и они	3	2
97	в себя	2	2
98	того чтобы	2	2
99	должно быть	3	2
100	их в	3	2
101	тому что	3	2
102	к нам	2	2
