N	3gram	Potebnia_M_3	KulturaY
1	и т п	2	24
2	и т д	3	14
3	в том что	16	10
4	для того чтобы	3	8
5	с другой стороны	4	7
6	по крайней мере	5	6
7	только потому что	2	6
8	само по себе	3	5
9	тем не менее	3	5
10	не только в	4	4
11	не может быть	3	4
12	в этом отношении	2	3
13	в то же	5	3
14	то же время	5	3
15	можно сказать что	2	2
16	может быть только	3	2
17	если бы например	2	2
18	и в самом	2	2
19	в свою очередь	3	2
20	то тем самым	3	2
21	и в том	2	2
22	вместе с тем	4	2
23	только в том	3	2
24	потому что он	3	2
