N	2gram	Nazirov_Vr_1	EvropaiE
1	и в	8	37
2	точки зрения	2	23
3	что в	7	21
4	не только	9	18
5	с точки	2	17
6	в то	5	16
7	то же	5	15
8	в своем	3	14
9	же время	5	14
10	но и	7	14
11	и не	5	14
12	но в	6	14
13	в этом	8	12
14	в том	3	11
15	отнюдь не	2	9
16	не может	2	9
17	т е	3	9
18	в себе	2	9
19	так же	4	9
20	в своей	2	8
21	между тем	5	8
22	как и	6	7
23	а также	2	7
24	том что	3	6
25	может быть	4	6
26	на то	3	6
27	как бы	4	6
28	то что	7	6
29	и даже	6	6
30	же как	2	5
31	столь же	2	5
32	в той	2	5
33	в россии	5	5
34	несмотря на	4	4
35	в ней	4	4
36	для нас	4	4
37	россии в	2	4
38	тем более	2	4
39	место в	2	3
40	никогда не	2	3
41	в них	2	3
42	в свою	2	3
43	в известном	2	3
44	из них	2	3
45	по нашему	3	3
46	к ним	2	3
47	тем что	3	3
48	о том	4	3
49	он сам	2	2
50	и во	3	2
51	и все	7	2
52	же в	2	2
53	как же	2	2
54	и как	3	2
55	но как	2	2
56	он не	3	2
57	в его	3	2
58	в котором	6	2
59	при помощи	2	2
60	в мире	2	2
61	наряду с	3	2
62	вместе с	2	2
63	целый ряд	4	2
64	что к	2	2
65	а в	2	2
66	таким образом	2	2
67	начиная с	2	2
68	и что	8	2
69	во многом	4	2
70	на основе	2	2
71	в своих	4	2
72	и с	6	2
73	в этой	2	2
74	и то	2	2
75	в истории	4	2
76	его на	2	2
77	далеко не	3	2
78	в эту	2	2
