N	3gram	Vinokur_St_1	Psycholo
1	для того чтобы	10	19
2	в том что	17	12
3	о том что	11	10
4	в самом деле	5	7
5	на то что	4	6
6	что в нем	2	5
7	на самом деле	6	5
8	с точки зрения	8	4
9	как раз в	2	4
10	можно было бы	8	4
11	так же как	3	3
12	и в этом	3	3
13	и т п	9	3
14	во всяком случае	6	3
15	за то что	3	3
16	с одной стороны	2	3
17	до сих пор	7	3
18	то что в	2	3
19	заключается в том	3	3
20	если бы мы	2	2
21	в то время	2	2
22	и т д	21	2
23	с другой стороны	6	2
24	что это не	2	2
25	и в самом	3	2
26	что в этой	2	2
27	речь идет о	2	2
28	сказать что в	3	2
