N	2gram	Vygotskiy__4	UchenyiS
1	и в	20	14
2	а не	7	10
3	не только	15	10
4	и не	8	8
5	прежде всего	2	8
6	то что	15	7
7	в этом	24	7
8	не может	6	7
9	может быть	12	6
10	и только	4	5
11	то же	16	5
12	но и	9	4
13	в этой	3	4
14	в их	12	4
15	с другой	12	4
16	что такое	5	4
17	только к	3	3
18	но в	3	3
19	как и	9	3
20	и то	10	3
21	все же	5	3
22	в своей	7	3
23	в частности	5	3
24	по нашему	2	3
25	другой стороны	9	3
26	для него	2	3
27	это не	5	3
28	было бы	8	3
29	и т.д	2	3
30	нашему мнению	2	3
31	этой области	2	3
32	в области	4	3
33	смысле этого	7	2
34	том что	35	2
35	но не	3	2
36	в том	42	2
37	является в	3	2
38	по существу	3	2
39	на каждом	6	2
40	не есть	2	2
41	не в	4	2
42	и для	4	2
43	мы и	2	2
44	должна быть	2	2
45	представляется нам	4	2
46	этом смысле	8	2
47	если бы	5	2
48	нас в	3	2
49	только в	10	2
50	и с	4	2
51	тем что	7	2
52	могут быть	7	2
53	что он	6	2
54	вопроса о	2	2
55	и у	2	2
56	каждом шагу	6	2
57	в себе	10	2
58	формы и	3	2
59	что мы	7	2
60	установку на	2	2
61	же самое	7	2
62	могли бы	9	2
63	что все	3	2
64	если не	2	2
65	этом отношении	7	2
66	в самом	6	2
67	не могут	3	2
68	одним из	2	2
69	самом деле	7	2
70	и является	3	2
71	что и	9	2
72	в его	11	2
73	между тем	9	2
74	на первый	4	2
75	таким образом	25	2
76	же не	2	2
