N	2gram	Berdyaev_M_2	Narrotol
1	не только	18	32
2	может быть	21	25
3	но и	15	23
4	и не	18	20
5	и в	46	19
6	в том	3	18
7	в этом	20	17
8	том что	4	14
9	не в	9	14
10	а не	13	12
11	то что	5	11
12	а в	2	11
13	не может	15	10
14	точки зрения	2	10
15	так и	4	9
16	в его	5	9
17	в мире	7	9
18	в себе	10	8
19	как и	13	7
20	к тому	5	7
21	такого рода	2	7
22	как в	7	7
23	по отношению	2	7
24	с его	4	6
25	что он	7	6
26	отношению к	2	6
27	то в	2	6
28	о том	3	6
29	но в	10	6
30	по себе	2	5
31	или иной	2	5
32	себя в	4	5
33	уже не	4	5
34	к нему	2	5
35	и его	5	5
36	в основе	2	5
37	к себе	2	5
38	в этой	7	5
39	прежде всего	12	4
40	в нем	22	4
41	у него	22	4
42	что не	2	4
43	то же	5	4
44	да и	2	4
45	связи с	2	4
46	как бы	8	4
47	хотя бы	7	4
48	те же	5	4
49	не мог	3	4
50	сказать что	3	4
51	в церкви	2	4
52	только в	3	4
53	и с	3	4
54	не существует	3	3
55	жизни в	3	3
56	же как	3	3
57	что в	4	3
58	никогда не	18	3
59	уже в	2	3
60	в свою	4	3
61	ни в	3	3
62	это и	3	3
63	что они	3	3
64	в сущности	2	3
65	хотя и	2	3
66	в ней	11	3
67	он не	10	3
68	и самого	3	3
69	один из	5	3
70	не есть	13	3
71	не будет	3	3
72	жизни и	6	3
73	и он	11	3
74	и на	3	3
75	между тем	2	3
76	тем что	3	3
77	не о	2	3
78	по своей	3	3
79	как будто	2	3
80	что это	6	3
81	бы не	2	2
82	он сам	6	2
83	себя и	3	2
84	в своем	8	2
85	что у	4	2
86	оно не	2	2
87	та же	10	2
88	быть может	2	2
89	личности в	2	2
90	не всегда	2	2
91	что иное	3	2
92	есть в	3	2
93	и тот	2	2
94	не что	3	2
95	для него	18	2
96	она не	8	2
97	было в	3	2
98	не от	2	2
99	к другому	3	2
100	он уже	2	2
101	и потому	7	2
102	не имеет	4	2
103	нет у	3	2
104	жизни а	2	2
105	отношение к	8	2
106	так же	6	2
107	к самому	2	2
108	как к	2	2
109	отношения к	2	2
110	не было	11	2
111	человека в	14	2
112	они не	4	2
113	и для	7	2
114	это не	5	2
115	можно было	2	2
116	тому как	2	2
117	не случайно	2	2
118	подобно тому	2	2
119	приходит к	2	2
120	и все	5	2
121	его в	3	2
122	это все	2	2
123	ничего не	2	2
124	иное как	3	2
125	к которому	3	2
126	что нет	3	2
