N	2gram	Tiupa_Disk_1	VelikijI
1	и не	11	20
2	и в	16	16
3	то что	5	9
4	еще не	14	8
5	в истории	4	8
6	и потому	3	7
7	а не	22	7
8	не есть	2	6
9	хотя и	2	5
10	как бы	5	5
11	но и	14	5
12	того что	3	5
13	на себя	2	5
14	во мне	3	4
15	и есть	2	4
16	что он	4	4
17	в нем	9	4
18	как и	16	4
19	в котором	5	4
20	так и	8	4
21	что не	4	4
22	потому что	4	4
23	в этом	15	4
24	и все	2	4
25	в его	7	4
26	с его	4	3
27	что в	4	3
28	в них	4	3
29	в том	23	3
30	не в	7	3
31	к тому	5	3
32	во всех	5	3
33	никогда не	2	3
34	оно не	2	3
35	что и	3	3
36	как не	3	3
37	в своей	5	3
38	не было	7	3
39	лишь в	4	3
40	и что	2	3
41	хотя бы	3	3
42	но в	8	3
43	это не	3	2
44	прежде всего	11	2
45	том что	19	2
46	но не	11	2
47	они и	3	2
48	для него	4	2
49	и во	2	2
50	не только	28	2
51	один из	3	2
52	не с	3	2
53	на том	2	2
54	в форме	2	2
55	а с	5	2
56	тем что	3	2
57	в себя	5	2
58	уже не	4	2
59	тем кто	2	2
60	более чем	2	2
61	а в	5	2
62	между тем	4	2
63	могут быть	4	2
64	только в	7	2
65	во всяком	2	2
66	мира в	3	2
