N	2gram	Losev_Vlad_1	Literetu
1	и в	31	19
2	может быть	6	17
3	то же	6	12
4	и не	17	11
5	в том	11	10
6	как и	4	10
7	но и	19	10
8	же время	4	9
9	такого рода	4	9
10	не может	6	9
11	в этом	14	9
12	в то	8	9
13	с другой	3	8
14	не только	24	8
15	и даже	15	8
16	том что	14	7
17	то что	18	7
18	так и	6	7
19	не менее	2	6
20	в себе	4	6
21	при этом	2	6
22	себя в	4	6
23	и на	3	6
24	я не	4	5
25	у нас	6	5
26	но не	3	5
27	в качестве	6	5
28	он не	10	5
29	вместе с	3	5
30	в году	30	5
31	того что	2	5
32	то есть	3	5
33	что в	14	4
34	в частности	2	4
35	не в	5	4
36	отнюдь не	3	4
37	того же	6	4
38	для него	7	4
39	в его	12	4
40	еще в	4	4
41	даже в	2	4
42	один из	4	4
43	жизни и	5	4
44	и других	2	4
45	так что	10	4
46	другой стороны	3	4
47	тем что	2	4
48	точки зрения	2	4
49	едва ли	3	4
50	никогда не	9	3
51	что он	12	3
52	в нем	4	3
53	по существу	2	3
54	и как	4	3
55	одним из	2	3
56	но это	3	3
57	в начале	3	3
58	в этой	4	3
59	и он	3	3
60	том чтобы	2	3
61	со стороны	2	3
62	а именно	2	3
63	то и	2	3
64	и для	2	3
65	на свою	3	3
66	так как	8	3
67	тем самым	2	3
68	как на	2	3
69	а в	9	3
70	и его	7	3
71	и то	10	3
72	не столько	2	3
73	и с	14	3
74	как к	2	3
75	ничего не	3	3
76	на этом	2	2
77	уже в	7	2
78	не было	5	2
79	к жизни	2	2
80	с тем	2	2
81	у него	15	2
82	в нашем	4	2
83	в них	2	2
84	было сказано	2	2
85	него не	3	2
86	в конце	9	2
87	в жизни	3	2
88	вовсе не	5	2
89	и к	6	2
90	а также	5	2
91	о которой	3	2
92	для нас	4	2
93	тем не	2	2
94	все что	2	2
95	тот же	3	2
96	еще не	2	2
97	было бы	2	2
98	и сам	6	2
99	со своей	3	2
100	одной из	2	2
101	нам представляется	3	2
102	свидетельствует о	3	2
103	свое время	6	2
104	не по	2	2
105	в свое	5	2
106	впрочем не	2	2
107	для себя	2	2
108	что и	5	2
109	как он	4	2
110	все же	3	2
111	и т	2	2
112	в целом	3	2
113	из них	2	2
114	то как	2	2
115	и за	2	2
116	в истории	4	2
117	и до	2	2
118	мысли и	4	2
119	как раз	7	2
120	не раз	4	2
121	той же	2	2
122	к своему	3	2
123	но только	3	2
124	на первом	2	2
125	уже не	3	2
126	и что	6	2
127	для того	2	2
128	хотя бы	2	2
129	а к	22	2
130	в годы	2	2
131	в своих	5	2
132	в результате	2	2
133	потому что	11	2
134	даже и	9	2
135	на себя	3	2
136	он и	6	2
137	под названием	2	2
138	и еще	2	2
139	но как	5	2
140	что я	2	2
141	о том	11	2
142	в россии	4	2
143	к этой	2	2
144	как это	7	2
145	с ним	5	2
146	но в	12	2
