N	2gram	Voloshinov_1	PoTuStor
1	может быть	26	17
2	и в	19	16
3	и пр	12	12
4	прежде всего	13	9
5	таким образом	17	9
6	в этом	16	9
7	мы можем	2	9
8	и только	2	9
9	совершенно не	3	8
10	и его	19	8
11	и с	2	8
12	точки зрения	34	8
13	не может	24	8
14	сказать что	4	7
15	не только	8	7
16	и это	3	6
17	и к	3	6
18	с точки	20	6
19	самом деле	10	6
20	для него	9	6
21	при этом	8	6
22	конечно не	5	6
23	все эти	7	5
24	что такое	2	5
25	в чем	2	5
26	ни в	2	5
27	нуждается в	3	5
28	еще не	4	5
29	как бы	15	5
30	с самого	4	4
31	самого начала	4	4
32	в нем	10	4
33	и их	2	4
34	отнюдь не	6	4
35	но и	8	4
36	так и	11	4
37	все это	3	4
38	хотя бы	5	4
39	и все	5	4
40	мысли и	4	4
41	так как	2	4
42	и не	26	4
43	на самом	3	4
44	как мы	13	4
45	и ее	3	4
46	можно сказать	3	4
47	и даже	2	4
48	и на	4	4
49	с ее	2	4
50	только в	9	4
51	его в	3	4
52	для всех	2	4
53	но в	7	4
54	в его	6	4
55	мы знаем	5	3
56	на этой	2	3
57	что в	4	3
58	жизни и	2	3
59	и есть	3	3
60	во всех	7	3
61	и др	2	3
62	могут быть	2	3
63	сих пор	8	3
64	в большинстве	3	3
65	этом смысле	2	3
66	пр и	2	3
67	те же	5	3
68	большинстве случаев	3	3
69	в том	6	3
70	а в	4	3
71	том что	3	3
72	и как	3	3
73	с другими	3	3
74	ко всякому	2	3
75	то что	8	3
76	в основе	2	3
77	только на	4	3
78	мира и	2	3
79	на язык	3	3
80	в области	3	3
81	во всяком	5	3
82	в основном	6	3
83	и потому	5	3
84	до сих	8	3
85	между ними	4	3
86	всяком случае	2	3
87	не существует	3	2
88	и этот	2	2
89	не менее	4	2
90	это делает	2	2
91	нет и	4	2
92	не могут	3	2
93	что и	2	2
94	не есть	3	2
95	ни было	10	2
96	же как	2	2
97	не будет	4	2
98	нем нет	2	2
99	сознания и	3	2
100	другими словами	2	2
101	на границе	3	2
102	в частности	2	2
103	никогда не	2	2
104	что не	2	2
105	между собой	2	2
106	если мы	11	2
107	того же	6	2
108	с этой	2	2
109	из этих	2	2
110	с этим	4	2
111	то же	7	2
112	по аналогии	2	2
113	к этому	5	2
114	субъективного сознания	7	2
115	не знает	2	2
116	и других	2	2
117	с помощью	6	2
118	сводится к	3	2
119	что он	2	2
120	мы не	6	2
121	в систему	3	2
122	и т.п	10	2
123	на первый	2	2
124	в науке	6	2
125	и для	11	2
126	войти в	3	2
127	все остальные	2	2
128	как и	12	2
129	так же	7	2
130	мы уже	2	2
131	он не	3	2
132	как с	2	2
133	в каком	3	2
134	всех других	3	2
135	момент в	3	2
136	в начале	5	2
137	в пределах	6	2
138	и вообще	2	2
139	ту же	2	2
140	было бы	4	2
141	о том	2	2
142	в самом	10	2
143	за пределы	5	2
144	в своей	3	2
145	и действительно	3	2
