N	3gram	Vygotskiy__2	Formalny
1	с точки зрения	10	14
2	не может быть	8	14
3	на самом деле	5	12
4	то же время	2	7
5	в то же	2	7
6	и т д	2	6
7	во всяком случае	2	6
8	и т п	8	5
9	с другой стороны	2	5
10	в данном случае	4	4
11	в самом деле	11	4
12	и не может	2	4
13	бы то ни	2	4
14	подобно тому как	2	4
15	для того чтобы	13	4
16	в художественном произведении	5	3
17	и те же	2	3
18	то же самое	6	3
19	в этом отношении	5	3
20	одни и те	2	3
21	в том что	17	3
22	к тому что	2	2
23	тем не менее	4	2
24	то же что	2	2
25	сами по себе	3	2
26	в конце концов	3	2
