N	2gram	Berdyaev_N_1	Myshleni
1	в этом	7	29
2	и в	16	26
3	не только	5	24
4	то что	4	24
5	того чтобы	2	19
6	в том	8	18
7	и не	11	18
8	том что	2	17
9	потому что	4	16
10	как и	7	15
11	так же	2	14
12	что в	9	12
13	вместе с	2	12
14	но и	3	11
15	мысли и	2	11
16	не может	16	11
17	по своему	4	9
18	мысли в	2	9
19	в себе	2	9
20	же как	2	8
21	что она	2	8
22	сказать что	3	8
23	к тому	3	7
24	прежде всего	4	7
25	может быть	7	7
26	и к	5	7
27	мы не	2	7
28	вопрос о	3	6
29	в смысле	2	6
30	в ее	3	6
31	и что	2	6
32	во всех	3	6
33	все эти	2	6
34	движение от	2	6
35	а не	17	6
36	одной стороны	2	5
37	с одной	2	5
38	и с	2	5
39	как это	2	5
40	с тем	3	5
41	она не	3	5
42	и для	4	5
43	не менее	4	4
44	никогда не	6	4
45	перейти к	3	4
46	с другой	3	4
47	и от	2	4
48	о том	4	4
49	но в	2	4
50	еще не	3	4
51	не есть	3	4
52	как в	3	4
53	это и	2	4
54	не в	6	4
55	это есть	7	4
56	связана с	2	3
57	я не	2	3
58	для этого	2	3
59	все это	5	3
60	это не	4	3
61	том и	2	3
62	в новой	7	3
63	но это	6	3
64	такой же	2	3
65	есть в	2	3
66	в ней	5	3
67	в основе	3	3
68	из ее	2	3
69	он не	8	3
70	не означает	3	3
71	переходе от	2	3
72	и заключается	2	3
73	в то	2	3
74	но не	2	3
75	и потому	4	3
76	нет и	2	3
77	в своей	3	3
78	так и	2	3
79	и весь	2	2
80	что все	2	2
81	ни в	6	2
82	но для	2	2
83	в нем	5	2
84	с ее	5	2
85	время как	2	2
86	лишь в	6	2
87	не имеет	4	2
88	должно быть	4	2
89	а в	2	2
90	и есть	10	2
91	с этим	2	2
92	в одну	2	2
93	природе и	2	2
94	наряду с	3	2
95	должно было	2	2
96	можно было	2	2
97	могут быть	2	2
98	не могла	2	2
99	мы говорим	2	2
