N	2gram	Vinokur_St_3	Problema
1	то есть	2	39
2	то что	12	38
3	и не	10	37
4	вовсе не	2	37
5	и в	25	35
6	сказать что	4	24
7	не только	12	24
8	том что	15	19
9	о том	8	18
10	может быть	19	18
11	у нас	4	18
12	что такое	7	18
13	в этом	24	17
14	но и	9	16
15	такого рода	5	15
16	в языке	8	15
17	что мы	3	14
18	только в	6	14
19	не менее	2	13
20	и что	3	13
21	потому что	5	13
22	во всяком	4	13
23	не может	7	13
24	тем не	2	12
25	в том	20	12
26	того что	5	12
27	что в	19	11
28	прежде всего	10	11
29	так что	11	11
30	не просто	2	11
31	всяком случае	4	10
32	и с	4	10
33	говорить о	3	10
34	тем более	3	10
35	еще не	2	10
36	а не	5	10
37	ничего не	4	10
38	в этой	14	9
39	уже не	3	8
40	было бы	7	8
41	в виду	2	8
42	этого термина	2	8
43	как раз	3	8
44	все же	4	8
45	при помощи	2	8
46	в конце	6	7
47	не является	3	7
48	все эти	3	7
49	не имеет	2	7
50	в его	12	7
51	конце концов	3	7
52	так и	5	7
53	так как	3	7
54	мы не	2	7
55	с другой	5	6
56	что все	3	6
57	можно сказать	4	6
58	ни в	5	6
59	но это	4	6
60	и т	8	6
61	к сожалению	2	6
62	а а	6	6
63	т д	2	6
64	но как	2	6
65	в то	7	6
66	на то	5	6
67	по крайней	4	6
68	относится к	4	6
69	крайней мере	4	6
70	и для	4	6
71	в виде	3	6
72	но в	5	6
73	в области	6	6
74	или иной	2	5
75	кроме того	3	5
76	в самом	2	5
77	в связи	3	5
78	с этим	7	5
79	с одной	2	5
80	и на	6	5
81	и более	3	5
82	этом смысле	4	5
83	как и	4	5
84	связи с	3	5
85	то же	5	5
86	как мы	2	5
87	одной стороны	3	5
88	что не	2	5
89	другой стороны	5	5
90	и это	5	5
91	не был	2	4
92	что если	2	4
93	в этих	11	4
94	в отношении	2	4
95	без всякого	2	4
96	есть в	2	4
97	в общем	4	4
98	между собою	2	4
99	как бы	6	4
100	и тем	4	4
101	все это	8	4
102	и только	2	4
103	таким образом	10	4
104	заключается в	2	4
105	а в	6	4
106	в результате	2	4
107	и здесь	3	4
108	тем что	19	4
109	всех этих	3	4
110	если бы	4	4
111	что он	19	4
112	но не	2	4
113	до сих	2	4
114	гораздо более	2	4
115	сих пор	2	4
116	самом деле	2	4
117	то и	2	4
118	в каком	4	4
119	уже в	3	3
120	каждый раз	2	3
121	тому что	3	3
122	из этих	6	3
123	к тому	2	3
124	нас не	2	3
125	что они	2	3
126	несмотря на	3	3
127	и если	3	3
128	один из	2	3
129	в целом	4	3
130	в их	3	3
131	для этого	2	3
132	не было	4	3
133	этой области	2	3
134	лишь в	4	3
135	и наконец	3	3
136	и по	2	3
137	что для	3	3
138	в своих	8	3
139	здесь только	2	3
140	и ни	2	3
141	с тем	4	3
142	по этому	3	3
143	тогда когда	2	3
144	и к	4	3
145	о которых	3	3
146	эту вещь	2	3
147	только тогда	2	3
148	одна из	2	3
149	и тот	2	3
150	нет и	2	3
151	внимание на	2	3
152	слова как	2	3
153	с самого	2	3
154	для того	2	3
155	как о	2	3
156	самого начала	2	2
157	по тому	2	2
158	не в	6	2
159	но все	2	2
160	независимо от	5	2
161	из которых	4	2
162	и др	4	2
163	к нему	4	2
164	отличается от	4	2
165	в системе	3	2
166	не так	3	2
167	или в	2	2
168	как на	6	2
169	в ней	4	2
170	точки зрения	7	2
171	имеем в	2	2
172	в плане	2	2
173	слово в	2	2
174	и которые	2	2
175	это в	4	2
176	в них	5	2
177	в такой	2	2
178	утверждать что	2	2
179	об этом	5	2
180	в качестве	4	2
181	если я	2	2
182	он не	5	2
183	что из	2	2
184	а также	4	2
185	речь идет	2	2
186	во всех	2	2
187	вместе с	2	2
188	этому поводу	2	2
189	в в	3	2
190	с нашим	2	2
191	той же	2	2
192	и ее	2	2
193	на это	2	2
194	которые в	2	2
195	во многих	2	2
196	из этого	4	2
197	это за	2	2
198	не имел	2	2
199	это было	8	2
