N	3gram	Tiupa_Anal_2	Narrotol
1	в том что	6	8
2	с одной стороны	4	7
3	о том что	6	6
4	по отношению к	4	6
5	в отличие от	2	5
6	той или иной	3	4
7	в данном случае	5	4
8	к тому же	4	4
9	с другой стороны	2	4
10	то же время	2	3
11	состоит в том	4	3
12	в этом отношении	3	3
13	обращает на себя	3	3
14	и тем самым	2	3
15	в то же	2	3
16	на себя внимание	3	3
17	тем не менее	3	3
18	в том или	2	2
19	в значительной степени	2	2
20	том или ином	2	2
21	присутствия в мире	2	2
22	мы имеем дело	3	2
23	так и не	4	2
24	в конечном счете	2	2
25	тогда как в	2	2
26	в таком случае	2	2
27	не только в	2	2
28	с точки зрения	2	2
29	подобно тому как	3	2
30	то есть в	2	2
31	можно было бы	2	2
32	того или иного	3	2
