N	2gram	Propp_Morf_1	Problemy
1	и в	13	34
2	и не	12	29
3	как бы	3	27
4	что он	4	23
5	может быть	52	19
6	не может	14	19
7	как и	3	18
8	но в	2	16
9	в этом	14	16
10	прежде всего	9	15
11	он не	3	15
12	то же	7	14
13	к нему	3	14
14	самом деле	4	13
15	т е	21	12
16	но и	4	12
17	и к	4	12
18	потому что	3	12
19	в то	3	12
20	вовсе не	4	11
21	в сущности	3	11
22	то что	8	11
23	на самом	4	11
24	не только	4	10
25	не в	3	9
26	а не	11	9
27	себя и	2	8
28	и т	41	8
29	так же	3	8
30	точки зрения	2	8
31	что же	2	8
32	и для	2	8
33	в другом	2	8
34	что в	8	7
35	к герою	3	7
36	все же	7	7
37	на него	3	7
38	как мы	6	7
39	как будто	2	7
40	там где	5	7
41	что они	2	6
42	в пределах	3	6
43	с его	2	6
44	отношению к	4	6
45	так и	6	6
46	только в	2	6
47	это не	6	5
48	к тому	4	5
49	но все	3	5
50	и что	2	5
51	того что	3	5
52	всяком случае	2	5
53	в целом	3	5
54	из них	3	5
55	по отношению	4	5
56	таким образом	21	5
57	а в	7	5
58	мы должны	3	5
59	с тем	2	5
60	что и	7	5
61	героя в	4	5
62	хотя бы	4	5
63	во всяком	2	5
64	на вопрос	2	4
65	то ни	3	4
66	с другой	8	4
67	ни было	2	4
68	из его	2	4
69	но это	6	4
70	на этом	3	4
71	на его	4	4
72	бы то	3	4
73	все эти	2	4
74	но как	2	4
75	в начале	3	4
76	его в	2	4
77	так как	16	4
78	если бы	2	4
79	но не	4	4
80	еще не	3	4
81	как в	3	4
82	с точки	2	4
83	тем что	4	4
84	в виде	2	4
85	он старается	2	4
86	ничего не	4	4
87	не менее	5	3
88	в том	6	3
89	что его	2	3
90	совсем не	3	3
91	в глаза	2	3
92	но для	2	3
93	хотя и	3	3
94	ивана в	3	3
95	другой стороны	4	3
96	его и	2	3
97	говорить о	3	3
98	большинстве случаев	3	3
99	от другого	2	3
100	этого не	2	3
101	героя из	2	3
102	том что	4	3
103	по своему	2	3
104	между тем	5	3
105	только что	2	3
106	а с	2	3
107	и как	5	3
108	далеко не	5	3
109	это было	3	3
110	это уже	3	2
111	тому что	4	2
112	та же	2	2
113	вопрос о	7	2
114	этом случае	8	2
115	она в	2	2
116	тем не	5	2
117	в большинстве	3	2
118	в последнем	2	2
119	например в	2	2
120	что такое	3	2
121	не является	3	2
122	один из	5	2
123	он может	2	2
124	в форме	6	2
125	друг друга	3	2
126	т д	39	2
127	себя за	2	2
128	друг на	2	2
129	в которых	2	2
130	с этим	11	2
131	на друга	2	2
132	самого себя	2	2
133	о том	2	2
134	герой не	2	2
135	сказать что	2	2
136	бы они	2	2
137	во время	6	2
138	однако в	2	2
139	он должен	2	2
140	по всему	2	2
141	не с	2	2
142	это и	2	2
143	то в	3	2
144	очень часто	6	2
145	было бы	3	2
146	мы увидим	8	2
147	во всех	4	2
148	лишь на	2	2
149	благодаря этому	3	2
150	быть и	2	2
151	входит в	2	2
152	уже не	2	2
153	к чему	3	2
154	в которой	3	2
155	тому как	5	2
156	подобно тому	6	2
157	и ее	3	2
158	показать что	4	2
