N	2gram	Losev_Dial_2	Otkroven
1	и в	19	19
2	но и	12	13
3	и не	30	13
4	в этом	8	12
5	а не	16	11
6	не в	8	11
7	может быть	20	11
8	не только	19	11
9	человека и	2	10
10	и все	12	10
11	вопрос о	3	10
12	в нем	10	10
13	никогда не	9	9
14	не было	3	9
15	потому что	14	9
16	прежде всего	8	9
17	он всегда	2	7
18	ни с	4	7
19	но он	4	7
20	он не	4	7
21	все это	4	6
22	как и	10	6
23	то что	14	5
24	а в	4	5
25	в том	14	5
26	в этой	3	5
27	в самом	5	5
28	всегда есть	2	4
29	т е	30	4
30	только и	2	4
31	что не	6	4
32	все в	2	4
33	и его	5	4
34	все эти	2	4
35	не может	9	4
36	что в	7	4
37	к нему	4	3
38	не могут	4	3
39	в этих	3	3
40	только одно	2	3
41	и есть	4	3
42	это не	10	3
43	и вот	4	3
44	что он	6	3
45	того что	6	3
46	хотя бы	4	3
47	в своих	2	3
48	еще не	4	3
49	и от	3	3
50	могут быть	4	3
51	в себе	15	3
52	было бы	3	3
53	о том	5	3
54	с ним	4	3
55	как бы	14	3
56	это за	3	3
57	это было	3	3
58	уже в	4	2
59	все же	4	2
60	что и	5	2
61	не есть	47	2
62	ее в	2	2
63	в душе	7	2
64	с тем	2	2
65	можно ли	3	2
66	в истории	2	2
67	так и	10	2
68	не очень	2	2
69	в своем	4	2
70	что у	2	2
71	что есть	2	2
72	что же	2	2
73	сразу же	3	2
74	по себе	18	2
75	же это	4	2
76	и к	7	2
77	должно быть	7	2
78	в ее	4	2
79	его не	2	2
80	в которой	2	2
81	том что	10	2
82	так что	7	2
83	в другом	4	2
84	в глубину	3	2
85	и то	7	2
86	из всего	2	2
87	что они	6	2
88	сказать что	10	2
89	и с	5	2
90	тем что	2	2
91	личности и	6	2
92	одно из	4	2
93	и нет	2	2
94	ведь это	3	2
95	момент в	2	2
96	его в	3	2
97	в своей	8	2
98	так как	14	2
99	ничего не	3	2
100	и из	3	2
101	но в	2	2
102	много раз	3	2
103	и потому	5	2
