N	2gram	Vygotskiy__2	VerxiiNi
1	и в	15	26
2	таким образом	14	22
3	вместе с	6	15
4	в этом	19	15
5	точки зрения	26	13
6	как бы	7	12
7	в том	33	11
8	может быть	9	10
9	не только	15	10
10	и с	4	10
11	из этих	4	10
12	связи с	9	9
13	что в	14	9
14	но и	10	9
15	так как	4	9
16	с другой	6	8
17	но не	3	8
18	в общем	3	8
19	и не	7	8
20	том что	27	7
21	но все	2	7
22	одной стороны	7	7
23	из них	3	7
24	то что	20	7
25	а с	4	7
26	с одной	7	7
27	потому что	7	7
28	но в	6	7
29	представление о	5	6
30	к тому	7	6
31	того же	3	6
32	несмотря на	4	6
33	всяком случае	6	6
34	что и	2	6
35	все же	4	6
36	так и	8	6
37	все это	4	6
38	в отношении	6	6
39	все эти	3	6
40	с точки	18	6
41	во всяком	7	6
42	в себе	2	6
43	мы должны	6	6
44	и т.д	12	6
45	о том	9	6
46	том числе	3	5
47	и к	6	5
48	одной из	3	5
49	друг с	2	5
50	в его	2	5
51	никогда не	8	5
52	с другом	2	5
53	или менее	2	5
54	так же	4	5
55	лишь в	3	5
56	а не	3	5
57	того чтобы	12	5
58	для того	10	5
59	не имеет	4	5
60	в силу	2	5
61	и для	2	5
62	более или	2	5
63	в этих	2	4
64	что все	4	4
65	что он	12	4
66	числе и	3	4
67	из которых	3	4
68	в самом	11	4
69	в котором	2	4
70	целый ряд	2	4
71	не может	9	4
72	и только	3	4
73	а в	4	4
74	то же	5	4
75	что оно	4	4
76	в течение	2	4
77	и что	8	4
78	и тогда	2	4
79	на этот	6	4
80	и по	3	4
81	с другими	3	4
82	в которых	3	4
83	ничем не	3	4
84	во время	3	4
85	он не	7	4
86	только в	4	4
87	в этой	6	4
88	за собой	2	3
89	же как	2	3
90	что это	6	3
91	если бы	8	3
92	хотя бы	4	3
93	к этому	4	3
94	каждая из	2	3
95	можно сказать	2	3
96	для него	3	3
97	и как	2	3
98	из всех	2	3
99	представляет собой	2	3
100	в своем	9	3
101	в качестве	4	3
102	случае не	2	3
103	отношению к	5	3
104	когда он	3	3
105	с ней	2	3
106	в связи	6	3
107	при этом	3	3
108	но с	2	3
109	того что	17	3
110	и даже	5	3
111	в которой	4	3
112	у них	2	3
113	с этой	2	3
114	в результате	3	3
115	в других	2	3
116	в одном	2	3
117	поэтому что	4	2
118	признать что	4	2
119	уже в	5	2
120	не могут	2	2
121	с его	4	2
122	он в	3	2
123	именно в	2	2
124	состоит в	3	2
125	к которым	4	2
126	связана с	4	2
127	в них	4	2
128	сравнению с	5	2
129	только для	3	2
130	и особенно	3	2
131	тогда когда	5	2
132	на все	2	2
133	прежде всего	4	2
134	на то	6	2
135	или иной	2	2
136	в пользу	4	2
137	а также	2	2
138	к его	2	2
139	по существу	5	2
140	мы видели	6	2
141	в начале	4	2
142	что именно	3	2
143	все что	5	2
144	и другой	2	2
145	что мы	9	2
146	с целью	2	2
147	тот же	7	2
148	и из	2	2
149	общего с	2	2
150	для всех	4	2
151	той или	2	2
152	но если	2	2
153	не могло	2	2
154	во всех	2	2
155	гораздо менее	3	2
156	в процессе	11	2
157	связь с	2	2
158	приводит к	5	2
159	только что	3	2
160	для этого	3	2
161	этом отношении	3	2
162	те же	3	2
163	мы имеем	3	2
164	в самой	3	2
165	тенденции к	2	2
166	сказать что	6	2
167	больше чем	2	2
168	не в	8	2
169	мы можем	10	2
170	по своей	6	2
171	по сравнению	5	2
172	же самое	2	2
173	и все	3	2
174	и это	3	2
175	не потому	2	2
176	в эту	4	2
177	к которому	6	2
178	в виду	6	2
