N	2gram	Tiupa_Lite_2	VerxiiNi
1	и в	19	26
2	с тем	2	18
3	вместе с	5	15
4	в этом	9	15
5	точки зрения	4	13
6	как бы	2	12
7	в том	10	11
8	может быть	17	10
9	не только	8	10
10	и с	3	10
11	что в	4	9
12	но и	10	9
13	в области	4	9
14	так как	3	9
15	с другой	8	8
16	но не	5	8
17	и не	11	8
18	как на	3	8
19	том что	7	7
20	одной стороны	6	7
21	из них	2	7
22	то что	7	7
23	с одной	7	7
24	потому что	2	7
25	но в	2	7
26	в конце	2	6
27	того же	4	6
28	что и	2	6
29	все же	2	6
30	так и	7	6
31	с точки	3	6
32	в себе	6	6
33	и т.д	7	6
34	о том	2	6
35	том числе	2	5
36	и к	2	5
37	крайней мере	2	5
38	одной из	2	5
39	в его	4	5
40	никогда не	3	5
41	к жизни	2	5
42	а не	20	5
43	для того	2	5
44	и для	3	5
45	в мире	9	5
46	по крайней	2	5
47	что он	3	4
48	в нем	3	4
49	из которых	2	4
50	не может	9	4
51	и только	2	4
52	а в	3	4
53	то же	12	4
54	и что	2	4
55	он не	5	4
56	в то	9	4
57	то есть	5	4
58	в этой	3	4
59	не менее	6	3
60	в рамках	4	3
61	же как	2	3
62	хотя бы	2	3
63	для него	4	3
64	так что	4	3
65	и как	3	3
66	представляет собой	2	3
67	в качестве	5	3
68	и нет	2	3
69	не вполне	2	3
70	если в	2	3
71	духовной культуры	2	3
72	тем не	2	3
73	отношению к	3	3
74	при этом	6	3
75	но с	3	3
76	уже не	2	3
77	путь к	2	3
78	того что	5	3
79	и даже	8	3
80	то с	2	3
81	с этой	2	3
82	в результате	2	3
83	в одном	2	3
84	уже в	2	2
85	ни было	2	2
86	состоит в	9	2
87	одно из	2	2
88	перестает быть	3	2
89	в них	2	2
90	прежде всего	4	2
91	из своих	2	2
92	с идеей	2	2
93	а также	2	2
94	по существу	3	2
95	в начале	3	2
96	без остатка	3	2
97	все что	2	2
98	же время	9	2
99	тот же	2	2
100	еще не	2	2
101	этот путь	3	2
102	вплоть до	3	2
103	для всех	5	2
104	один из	4	2
105	не с	3	2
106	не к	2	2
107	жизни и	4	2
108	во всех	3	2
109	для этого	2	2
110	не было	2	2
111	этом отношении	3	2
112	ко всему	2	2
113	свидетельствует о	2	2
114	одним из	3	2
115	наконец в	2	2
116	в глазах	3	2
117	и на	6	2
118	в русском	2	2
119	не в	4	2
120	и наконец	2	2
121	в россии	2	2
122	в виду	2	2
