N	2gram	Propp_Russ_1	Myshleni
1	точки зрения	3	26
2	таким образом	6	26
3	в том	17	24
4	и в	36	23
5	том что	19	21
6	в целом	2	20
7	с точки	3	18
8	то что	6	17
9	в этом	12	17
10	так же	3	16
11	не только	22	16
12	того что	4	15
13	что в	19	14
14	может быть	8	14
15	но и	16	14
16	как и	10	14
17	в его	2	14
18	не может	4	12
19	как бы	5	11
20	представляет собой	4	11
21	в качестве	3	9
22	и не	6	9
23	между тем	7	9
24	и с	2	9
25	вместе с	10	9
26	нас к	2	8
27	и на	10	8
28	то же	3	8
29	как уже	4	7
30	так как	15	7
31	с тем	8	7
32	мы не	6	7
33	независимо от	2	6
34	к слову	2	6
35	все это	6	6
36	потому что	10	6
37	с этим	2	6
38	в силу	2	6
39	о том	8	6
40	связь между	2	6
41	мы можем	2	6
42	тем что	4	6
43	только в	4	6
44	тому что	4	5
45	в какой	2	5
46	и как	2	5
47	для этого	2	5
48	в своих	2	5
49	мы должны	2	5
50	но в	2	5
51	и более	2	5
52	между собой	2	5
53	и что	4	5
54	так и	7	5
55	как мы	10	5
56	но не	2	4
57	в свою	3	4
58	при этом	6	4
59	что она	2	4
60	в свете	2	4
61	все эти	2	4
62	выводу что	2	4
63	их в	3	4
64	в одном	3	4
65	к этому	4	4
66	и к	3	4
67	по существу	4	4
68	к тому	4	4
69	к выводу	2	4
70	как в	5	4
71	приводит к	3	4
72	а с	4	4
73	мы видим	2	4
74	этого слова	3	4
75	только для	2	3
76	что это	3	3
77	в своем	3	3
78	из этих	4	3
79	на все	2	3
80	свою очередь	2	3
81	показывает что	5	3
82	что именно	2	3
83	что они	7	3
84	в их	4	3
85	показывают что	2	3
86	и других	7	3
87	в которых	5	3
88	этот вопрос	2	3
89	как он	2	3
90	полагает что	6	3
91	останавливаться на	2	3
92	об этом	9	3
93	тем и	2	3
94	такой же	2	3
95	во всех	4	3
96	как известно	2	3
97	она не	2	3
98	все же	5	3
99	должны были	2	3
100	а не	2	3
101	на этот	3	3
102	которые не	3	3
103	могут быть	2	3
104	связи с	4	3
105	в области	3	3
106	ничего не	3	3
107	в изучении	2	2
108	в частности	2	2
109	в нашем	2	2
110	что у	2	2
111	работа в	2	2
112	представление о	3	2
113	от них	3	2
114	но все	3	2
115	на этом	3	2
116	о чем	3	2
117	несмотря на	3	2
118	хотя и	2	2
119	не имеет	6	2
120	один из	8	2
121	не с	3	2
122	значения и	2	2
123	и до	2	2
124	начиная с	3	2
125	а в	9	2
126	и те	3	2
127	что этот	4	2
128	одно из	5	2
129	в этих	3	2
130	как это	8	2
131	всех этих	2	2
132	главным образом	2	2
133	в них	6	2
134	с собой	4	2
135	приводит нас	2	2
136	к вопросу	2	2
137	но тем	2	2
138	в один	2	2
139	том же	2	2
140	и потому	2	2
141	в равной	2	2
142	и другим	2	2
143	когда он	2	2
144	с ней	2	2
145	того как	5	2
146	в течение	5	2
147	уже не	6	2
148	и пр	2	2
149	воздействовать на	2	2
150	между двумя	2	2
151	в виде	6	2
152	представляют собой	7	2
153	к другу	2	2
154	там где	2	2
155	и поэтому	2	2
