N	2gram	Vygotskiy__1	Tvorches
1	и в	31	21
2	как бы	5	17
3	в то	5	15
4	в его	6	13
5	то же	5	13
6	что в	23	12
7	как и	16	12
8	то есть	26	12
9	том что	16	11
10	все это	8	10
11	как в	9	8
12	он не	3	8
13	то что	32	8
14	у него	4	7
15	в том	30	7
16	тем самым	2	7
17	при этом	19	7
18	не только	13	7
19	и не	16	7
20	но в	3	7
21	что он	7	6
22	и все	5	6
23	не менее	2	6
24	в котором	4	6
25	а в	6	6
26	и его	7	6
27	в этом	12	6
28	о том	7	6
29	отнюдь не	6	5
30	вовсе не	6	5
31	а не	13	5
32	но это	3	5
33	может быть	22	5
34	в этой	3	5
35	все же	5	5
36	таким образом	20	5
37	в своих	4	5
38	потому что	10	5
39	как будто	5	5
40	только в	14	5
41	в своем	3	4
42	та же	3	4
43	человека и	2	4
44	прежде всего	4	4
45	и как	2	4
46	в целом	5	4
47	из всех	2	4
48	конечном счете	3	4
49	в конечном	3	4
50	один из	4	4
51	в своей	3	4
52	мысли и	2	4
53	не может	17	4
54	и от	2	4
55	не существует	2	3
56	уже в	3	3
57	в книге	2	3
58	и другие	4	3
59	никогда не	8	3
60	с другой	5	3
61	что все	3	3
62	в каждом	3	3
63	представление о	3	3
64	это в	2	3
65	с ним	2	3
66	говорит о	2	3
67	это и	3	3
68	что я	4	3
69	но не	3	3
70	со всеми	4	3
71	в самом	11	3
72	той же	3	3
73	даже в	2	3
74	в нем	2	3
75	и т	26	3
76	жизни и	3	3
77	но и	2	3
78	который в	3	3
79	уже не	2	3
80	по мнению	2	3
81	утверждал что	2	3
82	и других	3	3
83	на самом	2	3
84	там же	2	3
85	того что	10	3
86	и даже	6	3
87	и по	3	3
88	так же	12	3
89	в которой	4	3
90	и с	2	3
91	хотя и	3	3
92	приходит к	2	3
93	ту же	2	3
94	далеко не	2	3
95	представляет собой	2	3
96	так как	18	3
97	в основе	2	2
98	такой же	2	2
99	на эти	2	2
100	в частности	3	2
101	в этих	4	2
102	в качестве	2	2
103	у пушкина	3	2
104	точно так	3	2
105	в жизни	2	2
106	к этому	4	2
107	ее и	2	2
108	согласии с	2	2
109	есть не	2	2
110	что и	13	2
111	так что	5	2
112	не в	11	2
113	одна из	4	2
114	того же	2	2
115	отдельного человека	10	2
116	от других	2	2
117	до конца	6	2
118	тот же	2	2
119	из них	2	2
120	к тому	4	2
121	только на	3	2
122	по самому	5	2
123	в одной	3	2
124	и когда	3	2
125	в него	2	2
126	себе не	3	2
127	был бы	5	2
128	гораздо более	2	2
129	и тем	2	2
130	тем не	2	2
131	не будет	3	2
132	когда он	2	2
133	вместе с	8	2
134	к жизни	2	2
135	так и	3	2
136	приводит к	2	2
137	вслед за	6	2
138	говорит что	5	2
139	в отличие	3	2
140	как к	2	2
141	что для	2	2
142	в себя	2	2
143	намек на	2	2
144	что она	6	2
145	не означает	2	2
146	но только	3	2
147	самом деле	9	2
148	и у	4	2
149	только что	2	2
150	отличие от	4	2
151	отказаться от	2	2
152	сказать что	7	2
153	могут быть	11	2
154	в себе	4	2
155	т п	16	2
156	же самая	2	2
157	при помощи	20	2
158	настоящее время	2	2
159	в чем	2	2
160	на деле	3	2
161	не то	2	2
162	в виду	4	2
