N	2gram	Tiupa_Lite_2	VeschiIm
1	не может	9	33
2	не только	8	31
3	может быть	17	29
4	и не	11	28
5	и в	19	26
6	то что	7	24
7	и т	2	21
8	а не	20	20
9	что я	2	16
10	и что	2	13
11	того что	5	13
12	было бы	2	12
13	но и	10	12
14	все же	2	12
15	в себя	3	12
16	и то	3	12
17	то же	12	10
18	уже не	2	10
19	в ней	4	10
20	как бы	2	10
21	потому что	2	10
22	в том	10	9
23	и с	3	9
24	ни было	2	9
25	прежде всего	4	9
26	что не	2	9
27	себя и	2	8
28	но это	3	8
29	с ее	2	8
30	в себе	6	8
31	ничего не	3	8
32	в то	9	7
33	так как	3	7
34	том что	7	7
35	себя в	6	7
36	как раз	2	7
37	в этом	9	7
38	так что	4	6
39	и как	3	6
40	что в	4	6
41	для него	4	6
42	жизни и	4	6
43	со стороны	3	6
44	и только	2	6
45	в результате	2	6
46	точки зрения	4	6
47	но в	2	6
48	по крайней	2	6
49	одно и	2	6
50	крайней мере	2	6
51	с ним	2	6
52	а если	2	6
53	не менее	6	5
54	с этой	2	5
55	тем не	2	5
56	не в	4	5
57	еще не	2	5
58	и до	2	5
59	для этого	2	5
60	а в	3	5
61	как к	3	5
62	с тем	2	5
63	отнюдь не	4	5
64	в ее	2	5
65	у нас	5	5
66	одна из	5	5
67	но не	5	5
68	того же	4	5
69	в сущности	3	5
70	для себя	2	5
71	и для	3	5
72	на себя	2	5
73	я не	5	4
74	с другой	8	4
75	же время	9	4
76	из них	2	4
77	в их	3	4
78	то и	3	4
79	быть не	2	4
80	и даже	8	4
81	о том	2	4
82	как и	10	4
83	во всех	3	4
84	что и	2	4
85	как я	3	4
86	с точки	3	4
87	мы не	4	4
88	в данном	3	4
89	тем что	4	4
90	никогда не	3	3
91	на этом	2	3
92	и сам	2	3
93	в нем	3	3
94	но как	2	3
95	себя как	2	3
96	перестает быть	3	3
97	даже и	2	3
98	в одном	2	3
99	в жизни	2	3
100	один из	4	3
101	что он	3	3
102	тот же	2	3
103	себе не	2	3
104	вместе с	5	3
105	так и	7	3
106	из того	2	3
107	хотя бы	2	3
108	тому как	2	3
109	подобно тому	2	3
110	я в	7	3
111	в основе	2	3
112	в частности	4	2
113	а потому	2	2
114	и нет	2	2
115	в виду	2	2
116	в сфере	4	2
117	данном случае	3	2
118	но только	2	2
119	в своих	2	2
120	как это	2	2
121	то есть	5	2
122	о которой	2	2
123	жизни в	4	2
124	не с	3	2
125	а затем	2	2
126	то в	2	2
127	в качестве	5	2
128	себе и	3	2
129	он не	5	2
130	но уже	2	2
131	мысли и	2	2
132	тогда как	9	2
133	все равно	2	2
134	для того	2	2
135	при всем	2	2
136	тем же	3	2
137	и его	3	2
138	той же	2	2
139	не случайно	4	2
140	ту же	2	2
