N	2gram	Voloshinov_1	OGranits
1	и в	15	13
2	и его	15	12
3	прежде всего	11	9
4	не может	13	8
5	и не	16	8
6	может быть	13	8
7	и т.п	2	7
8	точки зрения	13	7
9	и пр	9	7
10	в его	9	7
11	таким образом	21	6
12	не только	5	6
13	то что	10	6
14	только в	6	6
15	мы должны	7	6
16	как бы	11	6
17	все же	5	5
18	с точки	10	5
19	хотя бы	7	5
20	и наконец	10	5
21	в процессе	4	5
22	то же	7	4
23	не является	3	4
24	но мы	2	4
25	в своей	9	4
26	все это	5	4
27	мы не	4	4
28	мы можем	12	4
29	было бы	6	4
30	в сознании	3	4
31	но в	9	4
32	отношению к	9	3
33	что в	6	3
34	никогда не	7	3
35	но и	4	3
36	так и	10	3
37	что же	4	3
38	по отношению	11	3
39	при анализе	3	3
40	и все	4	3
41	в одном	3	3
42	точку зрения	4	3
43	самом деле	7	3
44	в ее	4	3
45	как и	6	3
46	не в	4	3
47	за пределы	2	3
48	и то	2	3
49	ни один	2	3
50	в себе	4	3
51	в искусстве	3	3
52	ничего общего	2	3
53	с этим	6	3
54	и для	2	3
55	так как	9	3
56	не менее	3	2
57	и др	8	2
58	самого начала	5	2
59	в нем	4	2
60	ее в	2	2
61	в целом	2	2
62	сознания и	5	2
63	связанных с	4	2
64	данном случае	3	2
65	а не	2	2
66	в этот	4	2
67	думать что	2	2
68	в отношении	2	2
69	может стать	3	2
70	а в	6	2
71	в течение	2	2
72	все эти	9	2
73	вовсе не	2	2
74	те же	4	2
75	роль в	6	2
76	и истории	2	2
77	конечно в	2	2
78	на две	3	2
79	с самого	7	2
80	к тому	4	2
81	и к	7	2
82	как в	3	2
83	если бы	3	2
84	в чем	4	2
85	в г	3	2
86	в том	4	2
87	том что	5	2
88	в зависимости	2	2
89	с ними	4	2
90	с помощью	9	2
91	в своих	4	2
92	в данном	3	2
93	зависимости от	2	2
94	в этом	13	2
95	учение о	2	2
96	между тем	2	2
97	могут быть	6	2
98	при этом	7	2
99	чем же	5	2
100	нуждается в	2	2
101	смысле слова	2	2
102	связанные с	2	2
103	и ее	3	2
104	для него	5	2
105	тот же	5	2
106	более того	2	2
107	и может	4	2
108	мы уже	5	2
109	слова и	2	2
110	в области	3	2
111	в самом	6	2
112	и при	3	2
113	представлений и	2	2
114	бы в	2	2
115	на язык	2	2
116	в ней	5	2
117	явлений и	2	2
