N	2gram	Vygotskiy__4	VrazhdaK
1	не только	7	9
2	в этом	28	8
3	и что	25	8
4	и в	33	8
5	но и	3	7
6	что в	21	7
7	то что	44	7
8	и все	12	7
9	в котором	2	6
10	в нем	7	6
11	все же	5	6
12	как и	5	6
13	но в	2	6
14	и с	2	6
15	о нем	4	6
16	то же	9	5
17	не было	3	5
18	и не	13	5
19	у него	6	5
20	об этом	4	5
21	в то	3	5
22	же время	2	5
23	уже в	2	4
24	для нас	7	4
25	как бы	25	4
26	все это	13	4
27	целый ряд	5	4
28	это не	6	4
29	что он	20	4
30	в дневнике	3	4
31	так же	13	4
32	с ним	5	4
33	в своих	3	4
34	может быть	22	4
35	при этом	2	4
36	о том	20	4
37	в ней	6	4
38	в виду	2	4
39	речь идет	3	3
40	я не	4	3
41	и уже	4	3
42	с его	2	3
43	связи с	2	3
44	в своем	7	3
45	что у	4	3
46	эти слова	3	3
47	в конце	8	3
48	к этому	4	3
49	на то	10	3
50	в том	21	3
51	раз в	7	3
52	и его	5	3
53	том что	22	3
54	и как	5	3
55	чтобы он	2	3
56	тем что	3	3
57	в его	10	3
58	далеко не	3	3
59	в русской	2	3
60	его в	3	3
61	но он	6	3
62	и о	4	3
63	он не	11	3
64	место в	2	2
65	а с	2	2
66	в своей	4	2
67	и это	5	2
68	после этого	6	2
69	из них	4	2
70	никогда не	5	2
71	вместе с	8	2
72	его и	2	2
73	в них	2	2
74	столь же	2	2
75	как раз	9	2
76	не может	10	2
77	а в	4	2
78	таким образом	13	2
79	это в	4	2
80	в той	3	2
81	и он	3	2
82	мы знаем	2	2
83	с точки	4	2
84	этот рассказ	2	2
85	в этой	9	2
86	и то	2	2
87	же как	3	2
88	их в	3	2
89	точки зрения	6	2
90	и ее	2	2
91	в себе	6	2
92	в нашей	2	2
93	во время	6	2
94	в это	2	2
95	при помощи	4	2
96	в мире	3	2
97	одна из	4	2
