N	2gram	Losev_Vesc_1	PoTuStor
1	может быть	16	17
2	и в	21	16
3	и пр	6	12
4	прежде всего	9	9
5	таким образом	8	9
6	в этом	4	9
7	мы можем	4	9
8	и только	3	9
9	совершенно не	5	8
10	и его	2	8
11	и с	8	8
12	точки зрения	5	8
13	не может	17	8
14	сказать что	17	7
15	не только	36	7
16	и это	14	6
17	с точки	3	6
18	самом деле	4	6
19	для него	4	6
20	я и	6	6
21	все эти	3	5
22	что такое	12	5
23	в чем	6	5
24	еще не	8	5
25	как бы	12	5
26	в нем	2	4
27	и их	7	4
28	отнюдь не	5	4
29	но и	18	4
30	так и	3	4
31	все это	5	4
32	хотя бы	6	4
33	и все	5	4
34	мысли и	3	4
35	так как	7	4
36	и не	29	4
37	как мы	4	4
38	и ее	18	4
39	можно сказать	6	4
40	и даже	6	4
41	с ними	3	4
42	в этой	3	4
43	с ее	6	4
44	и может	2	4
45	только в	14	4
46	его в	2	4
47	но в	5	4
48	в его	2	4
49	по сравнению	7	3
50	что в	9	3
51	жизни и	2	3
52	и есть	26	3
53	во всех	2	3
54	сравнению с	6	3
55	даже не	7	3
56	чем не	2	3
57	в одном	2	3
58	к себе	4	3
59	и вот	2	3
60	и притом	3	3
61	крайней мере	4	3
62	в том	8	3
63	а в	4	3
64	том что	8	3
65	и как	8	3
66	с другими	8	3
67	и оно	3	3
68	то что	27	3
69	их в	3	3
70	в основе	3	3
71	на этом	2	3
72	реальности и	3	3
73	по крайней	4	3
74	только на	3	3
75	как это	2	3
76	во всяком	3	3
77	и потому	5	3
78	между ними	3	3
79	всяком случае	2	3
80	и этот	2	2
81	не менее	3	2
82	один из	3	2
83	что и	3	2
84	не есть	49	2
85	ни было	4	2
86	не будет	12	2
87	другими словами	5	2
88	никогда не	2	2
89	что не	5	2
90	сделать это	2	2
91	для этого	4	2
92	если мы	8	2
93	находится в	3	2
94	того же	5	2
95	вообще не	2	2
96	оно не	3	2
97	с этой	4	2
98	с этим	3	2
99	в жизни	3	2
100	в свое	2	2
101	то же	6	2
102	с нею	18	2
103	что оно	8	2
104	только и	2	2
105	метода и	2	2
106	сводится к	2	2
107	мы не	6	2
108	что на	2	2
109	что мы	14	2
110	у него	2	2
111	и для	9	2
112	для нас	2	2
113	как и	8	2
114	мы видим	2	2
115	но это	10	2
116	мы уже	3	2
117	как с	4	2
118	есть и	4	2
119	между собою	6	2
120	момент в	6	2
121	говорить о	6	2
122	ту же	2	2
123	было бы	14	2
124	что это	13	2
125	но ведь	2	2
126	о том	6	2
127	оно и	4	2
128	в самом	9	2
129	в своей	5	2
130	только то	2	2
131	и о	3	2
132	с ним	8	2
133	для меня	2	2
134	себя и	4	2
