N	2gram	Losev_Prob_2	Poddanst
1	не только	24	17
2	и в	35	14
3	и не	37	12
4	в области	6	11
5	в отношении	4	10
6	в этом	17	10
7	то же	5	9
8	в том	12	9
9	в качестве	2	9
10	но в	6	9
11	хотя бы	12	8
12	в то	6	7
13	только в	14	7
14	но и	16	6
15	в ней	2	6
16	было бы	8	6
17	с другой	6	5
18	не в	2	5
19	о в	3	5
20	и о	4	5
21	может быть	18	5
22	то что	38	4
23	что в	11	4
24	если бы	4	4
25	в своем	4	4
26	не может	13	4
27	в с	2	4
28	по себе	8	4
29	и к	3	4
30	а в	4	4
31	том что	19	4
32	мы должны	3	4
33	и если	3	4
34	а также	2	4
35	как бы	4	4
36	сами по	2	3
37	и т	6	3
38	с тем	3	3
39	и без	5	3
40	с одной	5	3
41	прежде всего	11	3
42	заключается в	4	3
43	тем самым	7	3
44	для того	3	3
45	сводится к	2	3
46	мы не	7	3
47	и как	4	3
48	но не	4	3
49	точки зрения	2	3
50	в себе	5	3
51	что мы	14	3
52	тот же	4	3
53	одной стороны	5	3
54	потому что	13	3
55	хотя и	3	3
56	не менее	13	2
57	том числе	2	2
58	и тем	4	2
59	для них	3	2
60	и есть	4	2
61	во всех	2	2
62	в частности	5	2
63	не будем	4	2
64	отнюдь не	5	2
65	тем более	10	2
66	в них	2	2
67	в последние	2	2
68	есть нечто	7	2
69	все это	4	2
70	может ли	3	2
71	как раз	8	2
72	и весьма	2	2
73	с этим	5	2
74	именно как	4	2
75	еще более	2	2
76	стороны и	4	2
77	в значительной	3	2
78	а не	10	2
79	того что	12	2
80	должно быть	2	2
81	для нас	9	2
82	как на	2	2
83	говорить о	10	2
84	м а	7	2
85	есть не	6	2
86	и пусть	3	2
87	есть в	4	2
88	одна из	3	2
89	является в	2	2
90	в виде	6	2
91	не нужно	3	2
92	не было	3	2
93	в общем	4	2
94	и мы	2	2
95	и это	5	2
96	мысль о	2	2
97	значительной мере	3	2
98	никак не	11	2
99	да и	10	2
100	не о	6	2
101	о и	2	2
102	о с	2	2
103	что из	2	2
104	в его	7	2
105	и с	10	2
