N	2gram	Tiupa_Teor_1	FransuaR
1	и в	18	49
2	то есть	12	32
3	прежде всего	2	19
4	в его	6	18
5	не только	16	17
6	и его	8	17
7	и не	13	15
8	в этом	8	15
9	в них	2	13
10	только в	6	13
11	но и	9	13
12	как и	4	11
13	как бы	5	11
14	и т.п	4	11
15	вовсе не	3	10
16	в этой	3	10
17	все это	2	9
18	в романе	3	9
19	для него	2	9
20	в нем	4	9
21	отношение к	5	8
22	один из	2	7
23	не может	4	7
24	таким образом	3	7
25	то же	7	7
26	все эти	2	7
27	именно в	3	6
28	то что	3	6
29	в литературе	2	6
30	в себя	3	6
31	же время	5	6
32	времени и	2	6
33	так и	10	6
34	с их	2	6
35	сказать что	3	6
36	но он	3	6
37	точки зрения	9	6
38	в то	6	6
39	с его	5	5
40	никогда не	4	5
41	в своем	4	5
42	из этих	3	5
43	но не	9	5
44	при этом	12	5
45	может быть	17	5
46	и потому	2	5
47	в своей	6	5
48	с точки	3	5
49	роль в	2	5
50	с другой	7	4
51	нового времени	3	4
52	в жизни	2	4
53	и к	3	4
54	в себе	9	4
55	том что	9	4
56	жить и	2	4
57	и о	4	4
58	в этих	3	4
59	в форме	2	4
60	отношения к	2	4
61	а в	13	4
62	лишь в	6	4
63	в области	4	4
64	но в	9	4
65	место в	5	3
66	с одной	2	3
67	жизни в	2	3
68	превращается в	2	3
69	в одном	2	3
70	в ее	5	3
71	в том	16	3
72	одной стороны	2	3
73	в самом	4	3
74	даже в	3	3
75	и особенно	2	3
76	с ее	3	3
77	ни в	2	3
78	другой стороны	5	3
79	и вот	3	3
80	так в	4	3
81	их в	3	3
82	далеко не	2	3
83	и это	2	3
84	мире и	2	3
85	в виду	5	3
86	в противоположность	2	2
87	что в	9	2
88	на фоне	2	2
89	могут быть	4	2
90	за пределы	2	2
91	в нашем	4	2
92	в качестве	24	2
93	никто не	2	2
94	имеем в	3	2
95	для понимания	2	2
96	можно сказать	3	2
97	в отношении	3	2
98	в самой	2	2
99	есть в	2	2
100	перед лицом	2	2
101	можно охарактеризовать	2	2
102	в пределах	5	2
103	еще не	4	2
104	и другие	2	2
105	в формах	2	2
106	такого рода	8	2
107	в произведениях	2	2
108	одним из	2	2
109	хотя и	3	2
110	в мире	19	2
111	по преимуществу	4	2
112	вместе с	2	2
113	ее в	2	2
114	в их	2	2
115	на языке	2	2
116	ключ к	2	2
117	и даже	2	2
118	так же	2	2
119	на основе	2	2
120	одной из	2	2
121	как к	2	2
122	в другом	3	2
123	и т.д	3	2
124	в конце	2	2
125	в художественном	3	2
126	в произведении	3	2
