N	2gram	Losev_Prob_2	Psycholo
1	то что	38	32
2	и в	35	31
3	в том	12	30
4	и т	6	26
5	то есть	39	26
6	что в	11	23
7	может быть	18	22
8	таким образом	4	20
9	при помощи	8	20
10	ясно что	8	19
11	при этом	3	19
12	так как	7	18
13	не может	13	17
14	как и	5	16
15	том что	19	16
16	и не	37	16
17	точки зрения	2	15
18	только в	14	14
19	а не	10	13
20	не только	24	13
21	что и	2	13
22	так же	5	12
23	если мы	9	12
24	мы не	7	12
25	в этом	17	12
26	в самом	5	11
27	не в	2	11
28	в области	6	11
29	на то	6	10
30	того что	12	10
31	потому что	13	10
32	по себе	8	9
33	ни в	6	9
34	самом деле	4	9
35	вместе с	2	8
36	все это	4	8
37	т д	6	8
38	и что	13	8
39	во всяком	13	8
40	что мы	14	8
41	что он	4	7
42	есть в	4	7
43	только тогда	3	7
44	заключается в	4	7
45	того чтобы	2	7
46	тому как	3	7
47	сказать что	24	7
48	о том	18	7
49	этой теории	4	6
50	вовсе не	37	6
51	зависимости от	2	6
52	одной стороны	5	6
53	было бы	8	6
54	если бы	4	6
55	из этих	3	6
56	всяком случае	10	6
57	отнюдь не	5	6
58	а в	4	6
59	что она	4	6
60	для того	3	6
61	и даже	11	6
62	в его	7	6
63	и есть	4	5
64	само по	2	5
65	эта теория	4	5
66	и все	5	5
67	тогда когда	3	5
68	не является	7	5
69	все же	8	5
70	так что	11	5
71	с одной	5	5
72	для нас	9	5
73	она не	3	5
74	несмотря на	3	5
75	совершенно не	2	5
76	по самому	3	5
77	как бы	4	5
78	был бы	6	5
79	в зависимости	2	5
80	в целом	3	5
81	оказывается что	3	5
82	другой стороны	5	5
83	и для	6	5
84	то же	5	5
85	с и	2	5
86	с другой	6	5
87	подобно тому	2	5
88	в то	6	5
89	как будто	6	5
90	что всякое	2	5
91	утверждать что	2	5
92	к тому	3	4
93	в виду	8	4
94	прежде всего	11	4
95	тому что	3	4
96	одной и	2	4
97	в себе	5	4
98	указывает на	5	4
99	одна из	3	4
100	и если	3	4
101	у нас	18	4
102	и о	4	4
103	никак не	11	4
104	один из	3	4
105	в этих	4	4
106	для всех	2	4
107	в своих	3	4
108	совпадает с	2	4
109	в результате	4	4
110	мы можем	6	4
111	совершенно правильно	2	4
112	уже в	3	3
113	совсем не	7	3
114	не могут	4	3
115	как на	2	3
116	нашего исследования	3	3
117	с тем	3	3
118	только не	3	3
119	в частности	5	3
120	думается что	2	3
121	в своем	4	3
122	по тому	2	3
123	в состоянии	2	3
124	только при	2	3
125	точно так	3	3
126	что все	6	3
127	представление о	5	3
128	представить себе	4	3
129	вопрос о	3	3
130	стороны и	4	3
131	и к	3	3
132	что на	4	3
133	это и	3	3
134	но это	6	3
135	не будет	11	3
136	но не	4	3
137	все что	3	3
138	смысле слова	7	3
139	не можем	4	3
140	до сих	4	3
141	из которых	2	3
142	нет никакой	2	3
143	в этой	9	3
144	хотя и	3	3
145	в слове	3	3
146	он не	2	3
147	речь идет	2	3
148	чистом виде	3	3
149	но мы	3	3
150	сих пор	4	3
151	не есть	33	3
152	или его	2	3
153	и той	4	3
154	так и	7	3
155	что при	4	3
156	только на	9	3
157	мышления и	2	3
158	не было	3	3
159	что оно	2	3
160	но только	4	3
161	это обстоятельство	2	3
162	и по	3	3
163	той же	2	3
164	составляющих его	2	3
165	самое же	2	3
166	роль в	2	3
167	в таком	11	3
168	и только	4	3
169	с этим	5	3
170	в конце	7	3
171	и это	5	3
172	конце концов	7	3
173	когда мы	6	3
174	но в	6	3
175	в основе	3	2
176	не менее	13	2
177	не существует	6	2
178	или иное	2	2
179	сама по	4	2
180	казалось бы	7	2
181	уже и	3	2
182	независимо от	2	2
183	она должна	2	2
184	этом смысле	5	2
185	можно ли	6	2
186	по этому	3	2
187	и как	4	2
188	в разные	2	2
189	но даже	3	2
190	бы мы	2	2
191	до тех	4	2
192	и без	5	2
193	в них	2	2
194	том случае	2	2
195	учению о	2	2
196	и от	3	2
197	это в	2	2
198	в такой	2	2
199	и здесь	4	2
200	настоящей работы	6	2
201	есть не	6	2
