N	2gram	Ircho_Kome_1	Problemy
1	и в	22	35
2	и не	8	27
3	что он	6	24
4	в его	5	21
5	но в	4	19
6	не может	2	18
7	как и	9	18
8	в нем	4	16
9	то же	6	15
10	и все	3	15
11	но и	11	14
12	может быть	9	14
13	все это	5	14
14	в сущности	2	14
15	и его	8	14
16	в этом	3	14
17	к нему	2	13
18	он не	3	13
19	прежде всего	5	12
20	и с	3	12
21	в другом	4	12
22	в то	10	11
23	не в	6	10
24	же время	4	10
25	не только	10	10
26	то что	2	10
27	в отношении	6	9
28	так и	5	8
29	потому что	5	8
30	все же	3	8
31	как мы	4	8
32	и сам	3	7
33	так же	3	7
34	а в	6	7
35	точки зрения	4	7
36	вовсе не	2	7
37	еще не	2	7
38	для себя	2	7
39	отношению к	3	7
40	в виде	3	7
41	таким образом	8	7
42	что в	6	6
43	к тому	6	6
44	но это	2	6
45	что они	4	6
46	отношение к	3	6
47	в самом	2	6
48	что у	2	6
49	и на	3	6
50	в одном	8	6
51	но не	2	6
52	по отношению	3	6
53	только в	3	6
54	в конце	6	5
55	в том	11	5
56	да и	3	5
57	и даже	5	5
58	во время	5	5
59	даже в	3	5
60	на него	4	5
61	как в	5	5
62	в себе	2	5
63	на протяжении	4	5
64	с другой	5	4
65	слова о	2	4
66	до конца	2	4
67	на его	5	4
68	всяком случае	2	4
69	и вот	4	4
70	где он	2	4
71	между тем	5	4
72	но он	2	4
73	его в	3	4
74	так как	4	4
75	у него	3	4
76	как раз	3	4
77	в них	3	4
78	по своему	3	4
79	тот же	3	4
80	еще в	5	4
81	протяжении всего	2	4
82	и у	3	4
83	и без	2	4
84	во всяком	2	4
85	тем что	4	4
86	как будто	2	4
87	в чем	3	4
88	уже в	5	3
89	то ни	2	3
90	такой же	2	3
91	ни было	2	3
92	тому же	6	3
93	собой и	2	3
94	совсем не	2	3
95	с ее	2	3
96	бы то	2	3
97	в целом	3	3
98	из них	10	3
99	другой стороны	5	3
100	в форме	2	3
101	не мог	3	3
102	и во	2	3
103	в начале	3	3
104	в котором	4	3
105	том что	12	3
106	было бы	2	3
107	за пределы	2	3
108	конце концов	4	3
109	что и	4	3
110	всего этого	2	3
111	только что	2	3
112	ничего не	3	3
113	не менее	3	2
114	времени и	2	2
115	для этого	2	2
116	столь же	2	2
117	за исключением	3	2
118	и мир	2	2
119	именно потому	2	2
120	вопрос о	3	2
121	на всю	3	2
122	мы знаем	2	2
123	ни в	6	2
124	из его	4	2
125	на этом	2	2
126	при этом	5	2
127	со своим	5	2
128	хотя и	3	2
129	мог бы	2	2
130	время как	4	2
131	в эти	2	2
132	мы видели	2	2
133	и по	6	2
134	каждый из	3	2
135	к ней	2	2
136	по своей	2	2
137	о том	8	2
138	однако в	3	2
139	будто бы	2	2
140	несколько раз	2	2
141	точек зрения	2	2
142	раз в	2	2
143	должна была	2	2
144	здесь в	3	2
145	ли это	2	2
146	одной из	3	2
147	вместе с	2	2
148	так в	4	2
149	iv в	5	2
150	и как	3	2
151	в которой	6	2
152	или в	2	2
153	мы можем	4	2
154	отличие от	2	2
