N	2gram	Medvedev_V_1	Istorich
1	и в	26	25
2	что он	4	22
3	вместе с	7	22
4	и т	23	20
5	т д	14	18
6	может быть	22	17
7	т е	18	16
8	мы имеем	3	14
9	не только	25	13
10	но и	10	13
11	в его	14	12
12	и не	19	11
13	все же	5	10
14	в этом	26	10
15	с другой	11	9
16	его в	3	9
17	и его	6	9
18	таким образом	31	9
19	с тем	3	8
20	связи с	4	8
21	что в	10	8
22	мы знаем	3	8
23	том что	8	8
24	еще не	2	8
25	другой стороны	8	8
26	все эти	6	8
27	в частности	11	7
28	в качестве	11	7
29	во время	3	7
30	мы видели	3	7
31	а затем	2	7
32	как и	7	7
33	то что	6	7
34	одной стороны	2	7
35	в нем	6	7
36	при помощи	3	7
37	с одной	2	7
38	только в	7	7
39	о том	10	7
40	знаем что	2	6
41	это не	7	6
42	прежде всего	13	6
43	что и	3	6
44	не может	17	6
45	и он	2	6
46	не в	6	6
47	или в	3	6
48	могут быть	5	6
49	в том	15	6
50	с этим	3	5
51	в образе	2	5
52	но не	2	5
53	например в	3	5
54	в ней	2	5
55	так же	3	5
56	не менее	2	4
57	что у	2	4
58	что все	3	4
59	с другими	2	4
60	в ее	4	4
61	в пределах	5	4
62	же как	2	4
63	в основном	5	4
64	из себя	2	4
65	все это	10	4
66	в связи	3	4
67	то же	10	4
68	он не	2	4
69	в которой	2	4
70	никогда не	4	3
71	и как	3	3
72	в целом	4	3
73	в книге	2	3
74	в целях	2	3
75	что его	2	3
76	в этой	4	3
77	в то	6	3
78	также что	2	3
79	того чтобы	3	3
80	если в	2	3
81	и др	9	3
82	то это	2	3
83	в форме	3	3
84	показывают что	3	3
85	что при	2	3
86	примеров можно	2	3
87	в особенности	2	3
88	для того	3	3
89	его не	3	3
90	а в	3	3
91	в которых	3	3
92	их в	6	3
93	они не	2	3
94	человека в	2	3
95	е в	2	3
96	перед нами	4	2
97	видели что	3	2
98	у него	6	2
99	он может	2	2
100	он же	5	2
101	и быть	2	2
102	формы и	2	2
103	тогда когда	2	2
104	человека и	3	2
105	к этому	9	2
106	вовсе не	3	2
107	а как	2	2
108	по себе	2	2
109	в различных	2	2
110	от них	2	2
111	можно сказать	4	2
112	об этом	9	2
113	же в	6	2
114	в другую	2	2
115	по существу	3	2
116	и при	5	2
117	одна из	4	2
118	как у	2	2
119	очевидно что	7	2
120	после этого	2	2
121	она не	3	2
122	жизни и	3	2
123	если бы	3	2
124	из которых	2	2
125	во сне	21	2
126	попал в	2	2
127	одним из	5	2
128	но для	2	2
129	как бы	5	2
130	и потому	2	2
131	даже в	5	2
132	один из	5	2
133	должен быть	4	2
134	только у	2	2
135	в своей	4	2
136	отношению к	7	2
137	когда он	3	2
138	во всех	6	2
139	том чтобы	2	2
140	ее в	4	2
141	говорит о	7	2
142	так например	2	2
143	по отношению	7	2
144	и для	2	2
145	эти примеры	2	2
146	в течение	2	2
147	а не	7	2
148	того что	3	2
149	и по	3	2
150	роль в	4	2
151	сказать что	5	2
152	образом в	3	2
153	точки зрения	3	2
154	к его	2	2
155	ту же	2	2
156	что мы	2	2
157	из них	9	2
158	о чем	2	2
159	все его	2	2
160	значит что	2	2
161	том как	3	2
