N	2gram	Bakhtin_Fr_2	VLabPisa
1	таким образом	7	27
2	в этом	15	26
3	и в	49	25
4	не только	17	22
5	может быть	5	21
6	и не	15	19
7	не может	7	17
8	в его	18	15
9	прежде всего	19	13
10	в том	3	13
11	этом отношении	3	13
12	все это	9	12
13	с другой	4	11
14	из них	3	11
15	в качестве	2	10
16	о том	3	10
17	в художественном	2	10
18	что в	2	9
19	для него	9	9
20	и др	9	9
21	но и	13	9
22	то же	7	9
23	по словам	2	8
24	все эти	7	8
25	в своем	5	8
26	другой стороны	3	8
27	могут быть	2	8
28	из этих	5	7
29	в году	13	7
30	же в	3	7
31	как и	11	7
32	том что	4	7
33	было бы	3	7
34	во всех	6	7
35	вместе с	2	7
36	он пишет	3	7
37	не было	4	7
38	у него	2	6
39	в себе	4	6
40	это и	2	6
41	то что	6	6
42	в основном	5	6
43	в нем	9	6
44	так и	6	6
45	и его	17	6
46	их в	3	6
47	в то	6	6
48	же время	6	5
49	все же	7	5
50	в пределах	2	5
51	связи с	2	5
52	одним из	2	5
53	как бы	11	5
54	один из	7	5
55	в их	2	5
56	на основе	2	5
57	сказать что	6	5
58	только в	13	5
59	в плане	3	5
60	никогда не	5	4
61	в одном	3	4
62	что он	3	4
63	с его	5	4
64	можно сказать	2	4
65	в ее	3	4
66	в романе	9	4
67	одна из	4	4
68	в своей	5	4
69	в самом	3	4
70	даже в	3	4
71	образов и	3	4
72	в них	13	4
73	в связи	2	4
74	в этой	10	4
75	в противоположность	2	3
76	и к	4	3
77	во время	12	3
78	всех этих	3	3
79	даже и	2	3
80	или меньшей	3	3
81	в конце	2	3
82	человека и	3	3
83	и образы	2	3
84	по существу	2	3
85	мы видели	3	3
86	что они	2	3
87	в творчестве	6	3
88	большей или	3	3
89	по поводу	2	3
90	далеко не	3	3
91	в виду	3	3
92	жизни и	7	3
93	ее в	2	3
94	всех других	2	3
95	именно в	6	3
96	в значительной	3	3
97	так же	2	3
98	разума и	2	3
99	как на	4	3
100	точки зрения	6	3
101	например у	3	2
102	но даже	2	2
103	связана с	3	2
104	и образов	4	2
105	не подлежит	2	2
106	в жизни	4	2
107	вовсе не	10	2
108	роль в	5	2
109	в книге	3	2
110	в целях	2	2
111	а затем	3	2
112	связанное с	2	2
113	до сих	4	2
114	и потому	5	2
115	но не	5	2
116	над романом	2	2
117	как известно	2	2
118	так например	2	2
119	еще не	2	2
120	одной стороны	3	2
121	в большей	3	2
122	одной из	2	2
123	эти явления	2	2
124	меньшей степени	3	2
125	видеть в	2	2
126	в ней	2	2
127	относится к	5	2
128	и даже	2	2
129	всяком случае	2	2
130	что для	3	2
131	только то	2	2
132	мы наблюдаем	2	2
133	сих пор	4	2
134	этот процесс	4	2
135	до нас	8	2
136	а в	4	2
137	в особенности	5	2
138	с одной	3	2
139	в течение	3	2
140	того чтобы	2	2
141	к этим	3	2
142	другом месте	2	2
143	можно было	3	2
144	тому как	2	2
145	в своих	4	2
146	также и	3	2
147	во всяком	2	2
148	хотя и	2	2
149	лишь в	4	2
150	подобно тому	2	2
151	в другом	2	2
152	в области	4	2
153	о чем	3	2
154	но в	4	2
