N	2gram	Tiupa_Lite_2	VelikijI
1	во имя	2	32
2	и не	11	20
3	и в	19	16
4	то что	7	9
5	так как	3	9
6	еще не	2	8
7	в истории	2	8
8	а не	20	7
9	в мире	9	5
10	как бы	2	5
11	но и	10	5
12	того что	5	5
13	на себя	2	5
14	что он	3	4
15	в нем	3	4
16	как и	10	4
17	все что	2	4
18	так и	7	4
19	что не	2	4
20	потому что	2	4
21	в этом	9	4
22	в ней	4	4
23	в его	4	4
24	первый раз	2	3
25	что в	4	3
26	в них	2	3
27	в конце	2	3
28	в жизни	2	3
29	в том	10	3
30	не в	4	3
31	но это	3	3
32	что я	2	3
33	тот же	2	3
34	во всех	3	3
35	никогда не	3	3
36	что и	2	3
37	жизни и	4	3
38	не было	2	3
39	и что	2	3
40	за то	2	3
41	хотя бы	2	3
42	и для	3	3
43	в первый	2	3
44	что ты	2	3
45	но в	2	3
46	с тем	2	2
47	прежде всего	4	2
48	что было	2	2
49	для нас	2	2
50	том что	7	2
51	а к	2	2
52	одна из	5	2
53	но не	5	2
54	не к	2	2
55	для него	4	2
56	и сам	2	2
57	не только	8	2
58	один из	4	2
59	не с	3	2
60	и т	2	2
61	и за	2	2
62	с тобой	5	2
63	все равно	2	2
64	тем что	4	2
65	в себя	3	2
66	мы не	4	2
67	уже не	2	2
68	не так	2	2
69	а в	3	2
70	с ним	2	2
71	и то	3	2
72	могут быть	2	2
73	мира в	2	2
