N	2gram	Losev_Vlad_3	Istorich
1	и в	40	24
2	что он	5	21
3	не только	25	21
4	может быть	8	14
5	не может	14	14
6	в этих	2	13
7	что в	17	13
8	мы имеем	3	12
9	в этом	16	12
10	и здесь	6	12
11	но и	18	11
12	это не	3	10
13	у него	24	10
14	том что	18	10
15	а в	7	10
16	и что	8	10
17	с другой	5	9
18	не в	3	9
19	все же	4	9
20	о том	11	9
21	потому что	11	9
22	еще не	4	8
23	что и	7	8
24	другой стороны	2	8
25	то же	4	8
26	а не	8	8
27	так как	7	8
28	в том	18	7
29	мы видели	3	7
30	то что	28	7
31	вместе с	7	7
32	к нему	3	7
33	что здесь	3	7
34	таким образом	11	7
35	тем что	5	6
36	с этой	2	6
37	об этом	6	6
38	для нас	5	6
39	как и	7	6
40	так же	8	6
41	но не	4	6
42	в нем	3	6
43	а именно	12	6
44	он не	8	6
45	и все	4	6
46	того что	7	6
47	только в	13	6
48	что это	9	6
49	не менее	9	5
50	одной стороны	3	5
51	то это	10	5
52	так и	6	5
53	с одной	3	5
54	что она	2	5
55	в чем	3	5
56	ничего не	5	5
57	но в	4	5
58	никогда не	11	4
59	вовсе не	13	4
60	тем не	10	4
61	по существу	4	4
62	но все	3	4
63	при этом	3	4
64	есть и	4	4
65	одной из	2	4
66	мы уже	5	4
67	же как	3	4
68	как бы	3	4
69	в их	2	4
70	то и	2	4
71	если не	6	4
72	и не	25	4
73	не имеет	4	4
74	мы не	2	4
75	точки зрения	13	4
76	в данном	5	4
77	мы должны	4	4
78	то не	2	4
79	на первый	2	4
80	уже в	3	3
81	с его	2	3
82	не столько	3	3
83	в качестве	3	3
84	вопрос о	4	3
85	на то	4	3
86	так что	14	3
87	в дальнейшем	4	3
88	кроме того	6	3
89	и если	7	3
90	между прочим	5	3
91	не вполне	2	3
92	себе и	2	3
93	его в	2	3
94	не все	3	3
95	здесь нет	2	3
96	при помощи	4	3
97	выше мы	2	3
98	ее в	3	3
99	данном случае	2	3
100	как мы	8	3
101	и наконец	2	3
102	и даже	6	3
103	и по	2	3
104	и его	10	3
105	но это	6	3
106	хотя и	7	3
107	знаем что	2	3
108	из этих	3	3
109	связи с	2	3
110	что мы	2	3
111	в конце	12	3
112	тоже не	5	3
113	перед нами	3	2
114	вытекает и	2	2
115	не будет	6	2
116	по этому	3	2
117	тому что	4	2
118	того же	2	2
119	он прошел	2	2
120	и так	2	2
121	и от	6	2
122	этого не	3	2
123	к этому	2	2
124	прежде всего	10	2
125	не могут	2	2
126	не можем	2	2
127	стороны и	2	2
128	этом же	2	2
129	не содержит	2	2
130	в то	7	2
131	мы знаем	3	2
132	ни в	10	2
133	что его	2	2
134	говорит о	4	2
135	это значит	6	2
136	в силу	2	2
137	только о	3	2
138	то время	4	2
139	она не	2	2
140	было бы	4	2
141	в каких	2	2
142	здесь и	2	2
143	в самом	4	2
144	не имеют	2	2
145	и эта	3	2
146	но оно	2	2
147	и о	4	2
148	ни с	3	2
149	но для	3	2
150	в основном	4	2
151	в котором	4	2
152	на себя	2	2
153	и тем	3	2
154	на него	2	2
155	со стороны	2	2
156	оказывается что	2	2
157	отличается от	3	2
158	здесь не	3	2
159	точно так	4	2
160	в связи	3	2
161	уже не	9	2
162	не просто	10	2
163	там же	7	2
164	и у	3	2
165	не так	3	2
166	по его	2	2
167	в которой	2	2
168	друг друга	2	2
169	как это	4	2
170	время как	2	2
171	что этот	3	2
172	можно найти	2	2
173	которые не	2	2
174	сказать что	12	2
175	из них	2	2
176	с этим	2	2
177	и на	6	2
178	во всем	6	2
179	об этой	2	2
180	только на	5	2
181	но вот	3	2
182	все эти	5	2
183	и это	6	2
184	должен был	2	2
185	а если	2	2
