N	2gram	Medvedev_F_2	Komedia
1	и в	38	26
2	и не	20	14
3	едва ли	2	14
4	к тому	4	12
5	так и	8	12
6	и его	21	12
7	в том	11	11
8	может быть	23	11
9	но и	13	10
10	в этом	27	10
11	что в	7	9
12	столь же	2	9
13	том что	2	9
14	если бы	5	9
15	вместе с	6	9
16	было бы	6	8
17	и на	3	7
18	из них	4	7
19	не только	9	7
20	что и	8	7
21	то что	6	6
22	в нем	13	6
23	того чтобы	3	6
24	потому что	2	6
25	и здесь	3	6
26	в то	5	6
27	таким образом	20	6
28	с его	11	5
29	с тем	11	5
30	независимо от	4	5
31	в которой	2	5
32	к этому	4	5
33	что он	5	5
34	в качестве	2	5
35	один из	2	5
36	ни в	2	5
37	в истории	6	5
38	с этим	5	5
39	для того	3	5
40	и с	9	5
41	место в	3	4
42	уже в	2	4
43	в этих	2	4
44	тому что	2	4
45	и от	2	4
46	прежде всего	15	4
47	из этих	3	4
48	как мы	7	4
49	как и	9	4
50	в целом	3	4
51	хотя и	3	4
52	в его	10	4
53	все же	8	4
54	не по	2	4
55	в самом	16	4
56	и для	5	4
57	в в	2	4
58	что для	2	4
59	точки зрения	8	4
60	только в	6	4
61	что это	3	4
62	так как	4	4
63	как это	2	4
64	его в	3	4
65	между тем	2	4
66	это было	3	4
67	в тех	2	3
68	что на	2	3
69	мы знаем	3	3
70	жизни и	3	3
71	но все	3	3
72	связи с	13	3
73	но не	2	3
74	во всех	5	3
75	же время	5	3
76	со своей	2	3
77	например в	3	3
78	в ней	6	3
79	в котором	2	3
80	не имеет	2	3
81	в своей	7	3
82	и их	3	3
83	даже не	2	3
84	в их	6	3
85	все это	3	3
86	в связи	10	3
87	то же	6	3
88	не было	6	3
89	как в	4	3
90	к нему	3	3
91	а в	6	3
92	или в	3	3
93	становится в	2	3
94	тем что	8	3
95	не может	14	3
96	это время	2	3
97	в этой	6	3
98	но в	4	3
99	содержанию и	2	2
100	все время	6	2
101	если в	3	2
102	и другие	2	2
103	отнюдь не	8	2
104	то ни	2	2
105	в какой	3	2
106	с другой	3	2
107	это не	2	2
108	в одной	2	2
109	в конце	2	2
110	представление о	2	2
111	этом смысле	2	2
112	вовсе не	11	2
113	что именно	2	2
114	то это	3	2
115	и к	4	2
116	он был	2	2
117	в ее	2	2
118	идет о	2	2
119	не в	15	2
120	должна была	2	2
121	является не	2	2
122	на этом	2	2
123	ни одна	2	2
124	он не	6	2
125	как бы	4	2
126	всяком случае	5	2
127	даже в	2	2
128	не является	3	2
129	хотя бы	6	2
130	в развитии	2	2
131	и т	14	2
132	и это	2	2
133	отношение к	2	2
134	всего в	2	2
135	со стороны	2	2
136	в отличие	2	2
137	так в	3	2
138	т п	9	2
139	еще более	5	2
140	в той	2	2
141	с самого	2	2
142	от всех	2	2
143	в других	7	2
144	отличие от	2	2
145	роль в	3	2
146	мы не	3	2
147	с ними	2	2
148	не следует	4	2
149	во всяком	5	2
150	от этого	3	2
151	и ее	6	2
152	к его	2	2
153	говорить о	5	2
154	и все	3	2
155	в первом	7	2
156	из этого	2	2
157	бы в	5	2
158	в виду	2	2
