N	2gram	Ircho_Kome_2	Narrotol
1	не только	7	32
2	может быть	11	25
3	но и	10	23
4	в качестве	5	21
5	и не	14	20
6	и в	26	19
7	в том	11	18
8	в этом	10	17
9	в частности	4	14
10	том что	9	14
11	не в	2	14
12	то что	6	11
13	а в	3	11
14	не может	3	10
15	точки зрения	4	10
16	со стороны	2	9
17	так и	12	9
18	в его	4	9
19	в мире	2	9
20	с другой	2	8
21	не является	2	8
22	как и	4	7
23	еще не	6	7
24	к тому	12	7
25	все же	4	7
26	как в	3	7
27	по отношению	3	7
28	с одной	2	7
29	одной стороны	2	7
30	том числе	3	6
31	с его	5	6
32	что он	5	6
33	отношению к	3	6
34	но не	3	6
35	в той	2	6
36	как это	4	6
37	на протяжении	10	6
38	о том	6	6
39	но в	3	6
40	отнюдь не	2	5
41	тому же	11	5
42	себя в	3	5
43	к нему	3	5
44	и его	12	5
45	в отличие	2	5
46	отличие от	2	5
47	в этой	3	5
48	мира в	4	5
49	за собой	2	4
50	прежде всего	4	4
51	в нем	6	4
52	у него	4	4
53	то же	3	4
54	же в	4	4
55	да и	3	4
56	но все	3	4
57	в силу	2	4
58	если не	2	4
59	же время	3	4
60	было бы	8	4
61	связи с	3	4
62	вслед за	2	4
63	одной из	4	4
64	как бы	2	4
65	речь идет	3	4
66	хотя бы	2	4
67	из которых	3	4
68	в принципе	2	4
69	только в	4	4
70	как правило	3	4
71	и с	5	4
72	же не	2	4
73	не менее	4	3
74	ни было	2	3
75	что в	9	3
76	восходит к	4	3
77	уже в	4	3
78	из этих	4	3
79	ни в	5	3
80	интриги в	2	3
81	одна из	2	3
82	обращает на	5	3
83	хотя и	4	3
84	в ней	3	3
85	он не	2	3
86	если в	2	3
87	один из	5	3
88	себя внимание	5	3
89	бы то	2	3
90	в первом	2	3
91	из них	7	3
92	жизни и	3	3
93	в ее	2	3
94	даже не	3	3
95	то ни	2	3
96	как мы	4	3
97	столь же	9	3
98	или иначе	3	3
99	и на	7	3
100	между тем	4	3
101	тем что	3	3
102	на себя	7	3
103	в то	6	3
104	как будто	4	3
105	что это	4	3
106	дело с	3	2
107	после смерти	3	2
108	независимо от	5	2
109	в своем	6	2
110	что у	4	2
111	в какой	2	2
112	от всех	2	2
113	не всегда	2	2
114	идет о	2	2
115	что именно	2	2
116	что на	3	2
117	у нее	2	2
118	как известно	2	2
119	и после	2	2
120	сюжета в	2	2
121	например в	3	2
122	наряду с	6	2
123	наконец в	2	2
124	в обоих	3	2
125	так или	3	2
126	даже в	2	2
127	нет и	2	2
128	не имеет	3	2
129	в последние	4	2
130	отношение к	2	2
131	в связи	3	2
132	не было	3	2
133	в двух	6	2
134	человека в	3	2
135	времени в	2	2
136	одним из	2	2
137	и для	4	2
138	при всем	3	2
139	это не	2	2
140	роль в	2	2
141	или в	3	2
142	можно было	4	2
143	нового времени	2	2
144	однако в	2	2
145	одно из	2	2
146	следует признать	2	2
147	что касается	3	2
148	и ее	2	2
149	говорить о	2	2
150	имя которого	2	2
151	и все	2	2
152	его в	4	2
153	что по	2	2
154	мы имеем	2	2
155	о чем	3	2
