N	2gram	Propp_Isto_6	FransuaR
1	и в	26	45
2	и не	10	15
3	не только	10	14
4	в этом	12	14
5	но в	7	14
6	в его	5	13
7	и его	7	13
8	как бы	4	12
9	что в	12	12
10	в своем	2	11
11	то же	5	11
12	в то	5	11
13	прежде всего	4	10
14	в том	12	10
15	в нем	8	10
16	но и	9	10
17	как и	5	10
18	и с	6	10
19	вовсе не	2	8
20	как мы	4	8
21	в ней	5	8
22	и др	2	8
23	жизни и	2	8
24	таким образом	12	8
25	так же	2	8
26	мира и	2	8
27	с его	4	7
28	он был	2	7
29	том что	10	7
30	не в	3	7
31	что и	4	7
32	мы видели	11	7
33	потому что	13	7
34	что он	9	6
35	в этой	2	6
36	он не	2	6
37	здесь не	2	6
38	так и	5	6
39	так как	18	6
40	в них	3	6
41	есть и	4	5
42	здесь и	2	5
43	с ним	8	5
44	мы видим	5	5
45	но это	4	5
46	например в	7	5
47	не может	6	5
48	все эти	8	5
49	и как	2	5
50	и на	12	5
51	его в	5	5
52	перед нами	2	4
53	же как	3	4
54	и от	3	4
55	очень часто	5	4
56	мы не	6	4
57	у него	7	4
58	такой же	3	4
59	но не	2	4
60	ничего не	2	4
61	кроме того	3	4
62	своего рода	2	4
63	мы уже	6	4
64	а также	4	4
65	мы находим	2	4
66	эта связь	6	4
67	а не	2	4
68	его не	2	4
69	как на	3	4
70	а в	3	4
71	можно было	2	4
72	сказать что	3	4
73	с этим	2	4
74	только в	5	4
75	о том	7	4
76	связаны с	5	4
77	и это	8	4
78	как это	5	4
79	и другие	3	3
80	как в	6	3
81	вообще не	3	3
82	это не	4	3
83	в одной	2	3
84	из этих	4	3
85	в одном	3	3
86	здесь же	4	3
87	ни в	2	3
88	того же	2	3
89	то время	3	3
90	в своей	3	3
91	от того	3	3
92	до сих	4	3
93	не могло	2	3
94	здесь нет	2	3
95	вместе с	8	3
96	сих пор	4	3
97	на небе	5	3
98	что она	3	3
99	связь с	11	3
100	не было	3	3
101	и вот	3	3
102	того что	2	3
103	и он	4	3
104	не имеет	2	3
105	тела и	2	3
106	почти всегда	3	3
107	в которых	2	3
108	но он	2	3
109	он и	2	3
110	как он	6	3
111	там где	5	3
112	о чем	2	3
113	с тем	4	2
114	независимо от	3	2
115	и там	6	2
116	превращается в	7	2
117	относится к	2	2
118	к этому	3	2
119	смерть и	2	2
120	можно сказать	2	2
121	к тому	2	2
122	когда в	2	2
123	то что	6	2
124	в качестве	3	2
125	из его	2	2
126	так например	3	2
127	было бы	2	2
128	что это	2	2
129	это явление	2	2
130	может быть	11	2
131	еще в	3	2
132	даже в	2	2
133	один из	3	2
134	человеком и	2	2
135	все же	8	2
136	когда он	3	2
137	на том	8	2
138	на него	2	2
139	не будем	2	2
140	и до	2	2
141	данном случае	3	2
142	а именно	9	2
143	так в	6	2
144	и только	3	2
145	на котором	3	2
146	при этом	3	2
147	в одно	2	2
148	и что	5	2
149	и больше	2	2
150	и наконец	3	2
151	у народа	2	2
152	в данном	3	2
153	мы можем	7	2
154	с представлением	2	2
155	в городе	2	2
156	под названием	2	2
157	ту же	2	2
158	но мы	2	2
159	представлением о	2	2
160	в эту	2	2
161	нет ни	2	2
162	том как	3	2
163	от этого	3	2
