N	2gram	Berdyaev_V_1	Myshleni
1	в том	3	33
2	том что	2	27
3	то что	9	20
4	в этом	4	19
5	того что	5	17
6	и в	16	15
7	не только	2	15
8	что в	3	14
9	что он	4	12
10	того чтобы	2	12
11	но и	5	10
12	мы не	2	10
13	что мы	4	9
14	так и	4	8
15	никогда не	3	8
16	не в	3	8
17	и что	3	8
18	к тому	3	7
19	и не	20	7
20	потому что	4	7
21	как бы	5	7
22	тот же	3	7
23	во всяком	2	7
24	в истории	8	6
25	но в	3	6
26	по этому	3	6
27	как и	4	6
28	это не	2	5
29	все что	4	5
30	можно было	2	5
31	прежде всего	2	4
32	что все	4	4
33	для нас	2	4
34	все это	5	4
35	в них	3	4
36	не имеет	3	4
37	а в	2	4
38	их в	3	4
39	так как	9	4
40	с его	3	4
41	в своей	3	4
42	а с	2	4
43	хотя бы	3	4
44	только в	2	4
45	человека и	6	3
46	что они	7	3
47	и сам	2	3
48	для него	2	3
49	но мы	2	3
50	все эти	3	3
51	лишь в	3	3
52	с ним	2	3
53	и все	4	3
54	но не	2	3
55	бы и	3	3
56	а не	7	3
57	вот почему	2	3
58	и это	2	3
59	не могут	2	2
60	и есть	4	2
61	в этих	3	2
62	ни в	3	2
63	когда в	2	2
64	и мы	3	2
65	за то	3	2
66	в котором	4	2
67	могут быть	2	2
68	на том	2	2
69	должно быть	3	2
70	в первый	3	2
71	говорить о	4	2
72	к личности	4	2
73	которые не	2	2
74	от этого	3	2
75	и теперь	2	2
76	людей что	2	2
77	в его	4	2
78	нет и	2	2
79	что и	3	2
80	ее в	2	2
81	во всех	3	2
82	и тогда	2	2
83	и для	3	2
84	все равно	2	2
85	в себя	2	2
86	под этим	2	2
87	по пути	5	2
88	к чему	3	2
89	для человека	2	2
90	тем что	2	2
91	его к	2	2
92	это все	2	2
