N	2gram	Kanaev_Sov_1	Literetu
1	а не	3	20
2	и в	7	19
3	может быть	12	17
4	то же	3	12
5	и не	6	11
6	в том	4	10
7	как и	6	10
8	такого рода	2	9
9	не может	17	9
10	в этом	7	9
11	не только	4	8
12	и даже	2	8
13	с одной	2	7
14	и т.д	3	7
15	не менее	2	6
16	в себе	3	6
17	при этом	3	6
18	у нас	3	5
19	одна из	3	5
20	вместе с	4	5
21	что в	2	4
22	прежде всего	5	4
23	не в	3	4
24	отнюдь не	3	4
25	в его	2	4
26	жизни и	4	4
27	мы не	9	4
28	точки зрения	12	4
29	в области	3	4
30	в нем	3	3
31	мы с	2	3
32	такой же	2	3
33	в этой	3	3
34	то и	2	3
35	так как	4	3
36	тем же	2	3
37	с точки	5	3
38	а в	4	3
39	ничего не	6	3
40	на этом	2	2
41	уже в	3	2
42	у него	2	2
43	в нашем	2	2
44	в конце	3	2
45	в одном	3	2
46	в каждом	8	2
47	в третьем	2	2
48	и к	3	2
49	для нас	3	2
50	тем не	2	2
51	ведь это	3	2
52	тот же	2	2
53	еще не	3	2
54	было бы	3	2
55	как бы	4	2
56	как он	3	2
57	все же	3	2
58	в целом	4	2
59	из них	4	2
60	могут быть	2	2
61	той же	2	2
62	уже не	2	2
63	и что	2	2
64	из которых	2	2
65	и наконец	5	2
66	в результате	6	2
67	но в	3	2
