N	2gram	Bakhtin_Fr_5	PoTuStor
1	может быть	2	17
2	и в	45	16
3	прежде всего	10	9
4	таким образом	8	9
5	в этом	14	9
6	мы можем	2	9
7	и только	2	9
8	и его	13	8
9	и с	10	8
10	точки зрения	4	8
11	не может	5	8
12	с его	7	7
13	сказать что	4	7
14	не только	14	7
15	и это	4	6
16	и к	5	6
17	с точки	2	6
18	самом деле	5	6
19	для него	3	6
20	при этом	2	6
21	конечно не	2	6
22	только для	2	5
23	все эти	5	5
24	в чем	2	5
25	ни в	3	5
26	нуждается в	3	5
27	как бы	12	5
28	в нем	10	4
29	и их	5	4
30	но и	10	4
31	так и	6	4
32	все это	7	4
33	хотя бы	2	4
34	и все	7	4
35	мысли и	6	4
36	так как	6	4
37	и не	15	4
38	на самом	5	4
39	как мы	8	4
40	но мы	2	4
41	можно сказать	2	4
42	и наконец	2	4
43	и даже	4	4
44	и на	5	4
45	в этой	6	4
46	с ее	5	4
47	только в	4	4
48	его в	5	4
49	для всех	3	4
50	но в	14	4
51	в его	13	4
52	во время	12	3
53	что в	12	3
54	жизни и	8	3
55	и есть	2	3
56	во всех	13	3
57	и др	8	3
58	вместе с	3	3
59	сих пор	3	3
60	чем не	2	3
61	в большинстве	2	3
62	в одном	3	3
63	и вот	3	3
64	большинстве случаев	2	3
65	и она	2	3
66	и притом	2	3
67	в том	10	3
68	а в	4	3
69	том что	7	3
70	и как	5	3
71	то что	2	3
72	в основе	4	3
73	на этом	5	3
74	в общем	4	3
75	мира и	8	3
76	как это	4	3
77	до сих	3	3
78	не менее	3	2
79	нет и	2	2
80	поэтому и	3	2
81	один из	2	2
82	не могут	2	2
83	что и	7	2
84	не нуждается	2	2
85	же как	4	2
86	связанных с	3	2
87	в них	6	2
88	если мы	2	2
89	того же	3	2
90	вообще не	3	2
91	из этих	3	2
92	с этим	4	2
93	то же	11	2
94	к этому	2	2
95	с помощью	3	2
96	что он	6	2
97	мы не	4	2
98	в одно	2	2
99	здесь же	3	2
100	и т.п	16	2
101	что на	3	2
102	у него	4	2
103	и для	3	2
104	в этот	2	2
105	как и	10	2
106	своей жизни	2	2
107	мы видим	5	2
108	так же	8	2
109	но это	5	2
110	и образы	5	2
111	есть в	3	2
112	мы уже	4	2
113	по своему	4	2
114	он не	6	2
115	образов и	4	2
116	есть и	5	2
117	между собою	4	2
118	характерно для	3	2
119	говорить о	2	2
120	в начале	2	2
121	в пределах	2	2
122	и вообще	2	2
123	ту же	2	2
124	было бы	2	2
125	со всеми	5	2
126	что это	2	2
127	связанные с	3	2
128	о том	4	2
129	в самом	4	2
130	в своей	3	2
131	и о	4	2
132	с ним	5	2
133	почти не	2	2
134	себя и	2	2
