N	2gram	Losev_Prob_4	Tragedij
1	и в	20	18
2	в этом	9	9
3	не только	24	8
4	и не	28	7
5	и на	3	7
6	и с	7	7
7	может быть	9	7
8	как бы	4	7
9	что он	8	6
10	и его	10	6
11	но в	8	6
12	все же	2	5
13	что это	2	5
14	так и	10	5
15	это не	7	5
16	не может	5	5
17	то же	7	5
18	как и	6	5
19	у достоевского	4	5
20	в то	4	5
21	несмотря на	4	5
22	но и	14	4
23	то что	15	4
24	что в	3	4
25	все это	9	4
26	прежде всего	11	4
27	и все	8	4
28	в нем	5	4
29	и даже	9	4
30	так же	5	4
31	том что	12	4
32	но это	6	4
33	в этой	4	4
34	и что	2	4
35	в себе	12	4
36	еще не	7	4
37	об этом	6	4
38	уже в	4	3
39	с ее	2	3
40	отнюдь не	10	3
41	в своем	3	3
42	никто не	2	3
43	в конце	2	3
44	как в	5	3
45	все эти	16	3
46	тем самым	4	3
47	жизнь и	4	3
48	и он	2	3
49	и как	3	3
50	к нему	3	3
51	в его	3	3
52	для него	3	3
53	при этом	6	3
54	как будто	11	3
55	как это	3	3
56	с ним	4	3
57	то есть	27	3
58	не имеет	4	2
59	перед нами	13	2
60	но они	2	2
61	что и	3	2
62	только к	3	2
63	как же	2	2
64	в частности	2	2
65	данном случае	5	2
66	то и	5	2
67	даже если	3	2
68	не просто	16	2
69	но эта	2	2
70	уже не	5	2
71	бы и	3	2
72	с его	2	2
73	говорит что	2	2
74	к тому	3	2
75	столь же	2	2
76	не так	3	2
77	ни в	17	2
78	он был	3	2
79	в ее	5	2
80	в том	20	2
81	друг друга	2	2
82	говорит о	2	2
83	но все	3	2
84	так что	6	2
85	в таком	6	2
86	не в	13	2
87	тут же	3	2
88	точно так	3	2
89	в данном	6	2
90	и то	2	2
91	потому что	15	2
92	с тем	4	2
93	тем что	3	2
94	в виде	22	2
95	и ее	4	2
96	в это	2	2
97	о том	5	2
98	его в	2	2
99	и это	2	2
100	нет в	2	2
101	в самом	2	2
102	это уже	3	2
103	для искусства	3	2
104	он не	2	2
105	в одном	4	2
106	что она	4	2
