N	2gram	Nazirov_Tv_2	Dialekti
1	и не	9	30
2	может быть	8	20
3	и в	20	19
4	не только	13	19
5	и т	13	17
6	а не	6	16
7	т д	11	15
8	в себе	3	15
9	то что	3	14
10	что она	4	14
11	и даже	5	14
12	в том	8	14
13	как бы	11	14
14	так как	3	14
15	потому что	7	14
16	вовсе не	2	13
17	но и	8	12
18	то же	7	12
19	как и	6	10
20	в нем	3	10
21	так и	6	10
22	том что	4	10
23	это не	7	10
24	никогда не	11	9
25	по крайней	2	9
26	крайней мере	2	9
27	не может	7	9
28	личности в	2	8
29	прежде всего	8	8
30	не в	4	8
31	в этом	8	8
32	в своей	6	8
33	в душе	4	7
34	но это	5	7
35	что в	7	7
36	так что	2	7
37	я не	2	6
38	что он	6	6
39	что не	3	6
40	что они	4	6
41	отнюдь не	4	6
42	в то	10	6
43	но не	5	6
44	и вообще	2	6
45	с другой	2	5
46	не мешает	2	5
47	же время	7	5
48	в самом	3	5
49	и потому	4	5
50	и это	3	5
51	и что	2	5
52	и его	9	5
53	говорить о	2	5
54	только в	2	5
55	о том	5	5
56	и с	8	5
57	уже в	2	4
58	и есть	2	4
59	мифа в	3	4
60	в одном	2	4
61	в ее	2	4
62	все же	5	4
63	при этом	8	4
64	еще не	5	4
65	и если	2	4
66	он не	3	4
67	все это	6	4
68	другой стороны	2	4
69	и только	2	4
70	тут же	2	4
71	таким образом	10	4
72	самом деле	2	4
73	и по	2	4
74	а в	4	4
75	в таком	3	4
76	в одной	3	4
77	могут быть	2	4
78	с ним	3	4
79	не менее	2	3
80	же как	3	3
81	все время	2	3
82	и от	4	3
83	об этом	4	3
84	уже не	3	3
85	в этой	5	3
86	личности это	2	3
87	и мы	3	3
88	из них	2	3
89	и тогда	2	3
90	не было	2	3
91	что этот	2	3
92	его в	3	3
93	таком случае	2	3
94	в чем	4	3
95	ничего не	4	3
96	же не	2	3
97	зависит от	2	2
98	это уже	2	2
99	в частности	2	2
100	что у	4	2
101	у пушкина	3	2
102	в конце	6	2
103	человека и	3	2
104	именно в	6	2
105	что на	2	2
106	а я	2	2
107	мы видим	4	2
108	однако это	2	2
109	что я	2	2
110	только через	2	2
111	в истории	2	2
112	он всегда	2	2
113	как известно	2	2
114	до сих	3	2
115	на его	4	2
116	в искусстве	2	2
117	всяком случае	2	2
118	сих пор	3	2
119	себя в	2	2
120	в мире	5	2
121	на него	2	2
122	в их	3	2
123	так же	5	2
124	т п	2	2
125	например в	5	2
126	как в	4	2
127	это все	2	2
128	д и	2	2
129	с ними	2	2
130	в своих	3	2
131	их в	2	2
132	между тем	3	2
133	тем что	3	2
134	в виде	2	2
135	во всяком	2	2
136	но ведь	2	2
137	все эти	4	2
138	в которой	2	2
139	и эстетика	2	2
140	говорил что	2	2
141	но в	4	2
142	вместе с	3	2
