N	2gram	Bakhtin_fo_1	Mirosoze
1	может быть	11	30
2	не только	9	29
3	и в	50	28
4	не может	6	28
5	но и	8	25
6	а не	3	25
7	он не	5	24
8	в этом	25	20
9	не было	7	18
10	у него	6	17
11	не в	5	16
12	потому что	4	16
13	в ней	4	15
14	в своей	2	15
15	никогда не	2	14
16	человека и	11	14
17	до конца	4	14
18	в нем	24	13
19	человека в	17	13
20	и это	4	12
21	для него	2	11
22	в самом	8	11
23	и не	14	11
24	что в	5	10
25	в своем	4	10
26	был бы	3	10
27	прежде всего	15	10
28	и все	6	10
29	было бы	2	10
30	и потому	3	10
31	человек в	3	9
32	но он	2	9
33	с тем	3	9
34	в его	13	9
35	и его	16	9
36	но не	5	8
37	в котором	4	8
38	в самой	2	7
39	образ человека	6	7
40	того что	2	7
41	в конце	9	7
42	но в	10	7
43	нет ничего	4	7
44	он весь	2	7
45	в себе	3	7
46	в том	9	6
47	все это	4	6
48	лишь в	6	6
49	и на	8	6
50	человек и	2	6
51	вместе с	3	6
52	только в	4	6
53	в которой	2	6
54	не могут	3	5
55	это не	6	5
56	как и	8	5
57	то что	6	5
58	нет и	2	5
59	уже в	2	4
60	в этих	3	4
61	не знает	3	4
62	смысле слова	2	4
63	нет в	2	4
64	не к	2	4
65	отношение к	2	4
66	ни с	2	4
67	в их	6	4
68	отношения к	3	4
69	и по	2	4
70	а в	3	4
71	в которых	2	4
72	точки зрения	5	4
73	в них	4	4
74	не как	2	4
75	один из	3	4
76	к концу	3	4
77	к ней	2	4
78	что и	3	4
79	есть не	3	4
80	уже не	2	4
81	в человека	2	4
82	тем что	2	4
83	себя и	3	3
84	к тому	3	3
85	для нас	2	3
86	от природы	2	3
87	этого мира	4	3
88	и их	8	3
89	этот процесс	5	3
90	только и	5	3
91	не имеет	4	3
92	мир в	2	3
93	самого человека	3	3
94	с этим	6	3
95	и еще	2	3
96	его в	3	3
97	так как	6	3
98	то есть	33	3
99	и с	4	3
100	с его	9	3
101	для них	3	3
102	одно из	3	3
103	он должен	2	3
104	в жизни	6	3
105	вера в	2	3
106	в ее	6	3
107	том что	4	3
108	ничего не	9	3
109	конечно не	4	3
110	хотя бы	2	3
111	все его	3	3
112	место в	2	2
113	мы еще	3	2
114	вообще не	3	2
115	вопрос о	2	2
116	момент в	2	2
117	с их	2	2
118	с самим	5	2
119	о своей	2	2
120	и нет	2	2
121	в свою	2	2
122	нем все	2	2
123	для того	5	2
124	в виду	3	2
125	себе и	3	2
126	жизни и	8	2
127	могут быть	5	2
128	по отношению	3	2
129	нем не	3	2
130	центре его	2	2
131	все эти	9	2
132	есть только	2	2
133	и те	3	2
134	время как	5	2
135	также и	2	2
136	сказать что	3	2
137	в более	2	2
138	в начале	3	2
139	в истории	2	2
140	как бы	2	2
141	как он	2	2
142	с ним	2	2
143	в основе	5	2
144	а как	3	2
145	если бы	5	2
146	жизни в	8	2
147	и во	7	2
148	к этому	3	2
149	отношению к	5	2
150	мы видим	3	2
151	в то	9	2
152	чем в	2	2
153	то время	4	2
154	до сих	3	2
155	никто не	2	2
156	и к	2	2
157	так называемый	2	2
158	в этот	2	2
159	все же	6	2
160	по сравнению	2	2
161	сих пор	3	2
162	как в	6	2
163	человеческой жизни	6	2
164	оказывается что	2	2
165	в центре	2	2
166	входит в	3	2
167	разного рода	2	2
168	в той	4	2
169	того чтобы	5	2
170	и у	5	2
171	и как	10	2
172	и для	4	2
173	от этого	2	2
174	в каком	2	2
