N	2gram	Vinokur_Vv_1	NovoeSre
1	а не	3	17
2	не может	13	16
3	и в	27	16
4	совсем не	3	12
5	и не	13	11
6	и есть	3	10
7	что в	11	9
8	истории и	4	9
9	жизни и	2	8
10	в том	31	8
11	как и	5	7
12	это есть	2	7
13	в этом	34	7
14	может быть	24	7
15	никогда не	3	6
16	не в	8	6
17	должен быть	4	5
18	в нем	13	5
19	все это	6	5
20	истории в	2	5
21	культуры в	5	5
22	в ней	3	5
23	не только	21	5
24	не менее	8	4
25	то что	17	4
26	в них	4	4
27	это не	8	4
28	не имеет	4	4
29	и для	4	4
30	должно быть	2	4
31	есть лишь	2	4
32	государства и	2	4
33	потому что	14	4
34	по своему	5	4
35	прежде всего	8	4
36	о том	15	4
37	истории не	2	3
38	но и	5	3
39	не есть	4	3
40	не существует	2	3
41	должна быть	2	3
42	в своей	4	3
43	в истории	9	3
44	с другой	8	3
45	вопрос о	8	3
46	во всех	2	3
47	к тому	4	3
48	что такое	10	3
49	в ее	11	3
50	с тем	6	3
51	смысле слова	7	3
52	в прошлом	2	3
53	еще не	4	3
54	наряду с	2	3
55	сказать что	5	3
56	времени в	3	2
57	жизни как	2	2
58	времени и	4	2
59	на протяжении	2	2
60	себя в	2	2
61	вместе с	6	2
62	природе и	2	2
63	что она	3	2
64	для этого	3	2
65	к самой	2	2
66	мысли и	2	2
67	другой стороны	5	2
68	мы говорим	2	2
69	а в	5	2
70	с одной	4	2
71	этом смысле	11	2
72	все эти	3	2
73	быть в	4	2
74	уже не	5	2
75	того чтобы	21	2
76	одной стороны	4	2
77	зависит от	3	2
78	нового типа	2	2
79	и даже	5	2
80	хотя бы	5	2
81	духовной жизни	3	2
82	но не	7	2
83	ни к	2	2
84	вот почему	3	2
85	так же	3	2
86	по существу	2	2
87	мы не	2	2
88	том что	26	2
89	можно было	7	2
90	связана с	4	2
91	же как	3	2
92	одна из	2	2
93	и с	2	2
94	и что	4	2
95	и заключается	4	2
96	могут быть	4	2
97	с этим	2	2
98	движение от	2	2
99	и на	3	2
100	не к	2	2
101	которых не	3	2
102	в себе	4	2
103	с их	5	2
104	в то	5	2
105	как будто	3	2
106	познания и	2	2
107	и это	6	2
108	такого рода	2	2
109	в центре	4	2
110	ни одна	2	2
111	когда мы	2	2
112	том чтобы	6	2
113	как это	5	2
114	не могли	2	2
115	хотя и	3	2
116	но в	10	2
117	нашего времени	2	2
118	и творчества	2	2
