N	2gram	Bakhtin_Fr_1	Narrotol
1	не только	10	26
2	но и	10	15
3	в том	16	14
4	при этом	6	14
5	и не	22	14
6	том что	6	13
7	и в	65	13
8	в этом	15	13
9	в частности	5	11
10	только в	7	11
11	может быть	6	10
12	к тому	2	9
13	так и	10	9
14	то есть	45	9
15	то что	3	8
16	в себе	3	8
17	не может	3	8
18	не в	4	8
19	к себе	2	7
20	никогда не	6	6
21	в своем	8	6
22	в жизни	4	6
23	прежде всего	11	6
24	можно сказать	2	6
25	и к	4	6
26	того что	2	6
27	в его	9	6
28	и т.п	17	6
29	жизни в	5	6
30	все же	6	6
31	как бы	22	6
32	ничего не	3	6
33	но в	14	6
34	точки зрения	7	5
35	себе самому	2	5
36	что он	3	5
37	одной стороны	2	5
38	хотя и	2	5
39	он не	2	5
40	в нем	13	5
41	на него	2	5
42	как в	5	5
43	в форме	3	5
44	в отличие	4	5
45	с одной	2	5
46	в той	5	5
47	с другой	3	5
48	на протяжении	5	5
49	отличие от	5	5
50	далеко не	3	5
51	о том	2	5
52	в литературе	6	4
53	же в	2	4
54	как и	5	4
55	времени и	6	4
56	что в	3	4
57	для него	5	4
58	при всей	2	4
59	не является	3	4
60	не к	2	4
61	жизни и	7	4
62	в своей	5	4
63	в ее	3	4
64	уже не	3	4
65	и у	6	4
66	в этой	4	4
67	и все	5	4
68	с ним	3	4
69	в себя	3	4
70	мира в	3	4
71	но при	2	4
72	с его	5	3
73	или даже	2	3
74	это не	3	3
75	или иной	5	3
76	да и	2	3
77	но не	2	3
78	как раз	3	3
79	той или	5	3
80	о нем	3	3
81	в целом	2	3
82	все эти	10	3
83	самом деле	3	3
84	и даже	8	3
85	и по	2	3
86	и для	2	3
87	и его	10	3
88	в таком	2	3
89	этом отношении	3	3
90	сказать что	6	3
91	между тем	5	3
92	по своей	3	3
93	существенную роль	2	3
94	так сказать	4	3
95	мира и	4	3
96	одно из	6	2
97	превращается в	5	2
98	представления о	2	2
99	из этих	2	2
100	на фоне	3	2
101	вовсе не	18	2
102	и здесь	3	2
103	но одновременно	3	2
104	для нас	4	2
105	по своему	8	2
106	еще не	6	2
107	во второй	2	2
108	и он	2	2
109	в самом	4	2
110	несмотря на	2	2
111	интерес к	2	2
112	но для	3	2
113	не вполне	2	2
114	в процессе	2	2
115	подчеркнуть что	2	2
116	от всего	2	2
117	нового времени	13	2
118	только на	2	2
119	в других	3	2
120	на самом	6	2
121	с точки	3	2
122	по его	3	2
123	в чужой	2	2
124	роль в	2	2
125	в чем	2	2
126	но это	3	2
127	в ней	6	2
128	в своих	5	2
129	во время	4	2
130	потому что	5	2
131	в области	7	2
132	картине мира	3	2
