N	2gram	Tiupa_Narr_1	Tvorches
1	и в	19	21
2	как бы	4	17
3	в то	3	15
4	в его	9	13
5	то же	4	13
6	времени в	2	13
7	что в	3	12
8	как и	7	12
9	же время	4	12
10	то есть	19	12
11	с его	6	11
12	том что	14	11
13	как в	7	8
14	он не	3	8
15	то что	11	8
16	у него	4	7
17	в свою	3	7
18	в том	18	7
19	тем самым	6	7
20	при этом	9	7
21	не только	32	7
22	и не	20	7
23	и на	3	7
24	но в	6	7
25	он сам	2	6
26	что он	6	6
27	жизни в	3	6
28	и все	2	6
29	не менее	3	6
30	для него	2	6
31	человека в	2	6
32	а в	11	6
33	и его	5	6
34	в этом	17	6
35	о том	6	6
36	отнюдь не	5	5
37	а не	12	5
38	может быть	25	5
39	в этой	5	5
40	все же	7	5
41	хотя бы	4	5
42	как будто	3	5
43	только в	4	5
44	в своем	2	4
45	та же	2	4
46	прежде всего	4	4
47	в мире	9	4
48	и как	5	4
49	времени и	7	4
50	конечном счете	2	4
51	одной из	4	4
52	одним из	2	4
53	в конечном	3	4
54	по сути	2	4
55	один из	3	4
56	своего рода	12	4
57	не может	10	4
58	это не	2	4
59	не случайно	2	4
60	не существует	3	3
61	уже в	3	3
62	никогда не	3	3
63	с другой	8	3
64	говорит о	2	3
65	с ее	3	3
66	это и	3	3
67	но не	5	3
68	авторской позиции	2	3
69	даже в	2	3
70	в нем	4	3
71	жизни и	3	3
72	время в	2	3
73	но и	23	3
74	во времени	8	3
75	который в	2	3
76	уже не	5	3
77	и даже	3	3
78	сути дела	2	3
79	так же	2	3
80	и с	4	3
81	хотя и	3	3
82	приходит к	2	3
83	на протяжении	6	3
84	в рассказе	4	3
85	далеко не	5	3
86	представляет собой	13	3
87	в основе	5	2
88	может не	3	2
89	в принципе	4	2
90	перед нами	4	2
91	зависит от	2	2
92	в частности	14	2
93	однако в	2	2
94	на том	3	2
95	в качестве	21	2
96	не столько	4	2
97	в пространстве	4	2
98	точно так	2	2
99	одного из	4	2
100	личности в	2	2
101	в литературе	2	2
102	можно сказать	5	2
103	а по	2	2
104	его как	2	2
105	не в	14	2
106	то в	6	2
107	быть может	2	2
108	одна из	3	2
109	было в	2	2
110	из них	3	2
111	к тому	7	2
112	в ней	3	2
113	и когда	2	2
114	если в	3	2
115	себе не	2	2
116	которого он	2	2
117	и тем	4	2
118	тем не	3	2
119	не будет	3	2
120	во второй	2	2
121	когда он	3	2
122	данном случае	4	2
123	так и	9	2
124	приводит к	2	2
125	вслед за	4	2
126	во всей	2	2
127	в отличие	5	2
128	как к	2	2
129	для автора	2	2
130	именно в	6	2
131	в двух	2	2
132	в себя	6	2
133	не мог	4	2
134	самом деле	2	2
135	но без	2	2
136	что не	4	2
137	и он	3	2
138	отличие от	5	2
139	или в	2	2
140	сказать что	4	2
141	в первом	3	2
142	могут быть	3	2
143	в данном	5	2
144	в себе	8	2
145	прошлого и	2	2
146	героя и	4	2
147	не то	2	2
148	более не	2	2
149	мира в	5	2
