N	2gram	Berdyaev_O_1	Myshleni
1	в том	5	24
2	и в	19	23
3	том что	2	21
4	того чтобы	4	17
5	то что	5	17
6	в этом	12	17
7	не только	11	16
8	того что	3	15
9	для того	3	15
10	что в	4	14
11	может быть	11	14
12	но и	13	14
13	как и	6	14
14	в его	7	14
15	не может	4	12
16	как бы	3	11
17	сказать что	2	11
18	прежде всего	9	10
19	и не	13	9
20	и с	2	9
21	и на	2	8
22	вопрос о	10	7
23	в этой	5	7
24	в самом	5	7
25	так как	2	7
26	с тем	2	7
27	что он	3	7
28	и ее	3	7
29	в другом	2	7
30	все это	6	6
31	лишь в	7	6
32	потому что	9	6
33	о том	3	6
34	мысли и	3	6
35	и его	4	6
36	тем что	2	6
37	в себе	3	6
38	по себе	2	5
39	что для	2	5
40	в своих	3	5
41	и все	10	5
42	но в	2	5
43	он не	7	5
44	так и	2	5
45	что все	2	4
46	не в	11	4
47	о природе	3	4
48	все эти	4	4
49	с его	4	4
50	к этому	2	4
51	и к	2	4
52	было бы	3	4
53	в своей	2	4
54	хотя бы	3	4
55	уже в	2	3
56	в своем	2	3
57	и от	3	3
58	что они	2	3
59	его не	2	3
60	учение о	2	3
61	человека и	10	3
62	все же	2	3
63	а не	11	3
64	ко всем	2	3
65	и то	2	3
66	он в	2	3
67	могут быть	3	3
68	в которой	2	3
69	ничего не	2	3
70	никогда не	9	2
71	что у	2	2
72	для него	5	2
73	вместо того	2	2
74	хотя и	2	2
75	не имеет	2	2
76	и мысли	4	2
77	и вот	3	2
78	должно быть	2	2
79	а в	5	2
80	его мысли	4	2
81	одно из	2	2
82	в этих	3	2
83	ничего кроме	2	2
84	в ее	2	2
85	и потому	2	2
86	всего в	2	2
87	когда он	3	2
88	ее в	2	2
89	не могли	2	2
90	человека к	2	2
