N	2gram	Voloshinov_1	Narrotol
1	не только	5	32
2	может быть	13	25
3	но и	4	23
4	в качестве	2	21
5	и не	16	20
6	и в	15	19
7	в том	4	18
8	в этом	13	17
9	том что	5	14
10	не в	4	14
11	а не	2	12
12	то что	10	11
13	а в	6	11
14	не может	13	10
15	точки зрения	13	10
16	при этом	7	9
17	со стороны	2	9
18	так и	10	9
19	в его	9	9
20	не является	3	8
21	и т.п	2	8
22	в себе	4	8
23	как и	6	7
24	еще не	7	7
25	к тому	4	7
26	все же	5	7
27	как в	3	7
28	по отношению	11	7
29	с его	8	6
30	что он	8	6
31	отношению к	9	6
32	но не	5	6
33	именно в	3	6
34	в себя	5	6
35	на протяжении	5	6
36	но в	9	6
37	отнюдь не	2	5
38	нуждается в	2	5
39	по себе	2	5
40	можно сказать	4	5
41	себя в	2	5
42	уже не	5	5
43	к нему	7	5
44	и его	15	5
45	в данном	3	5
46	в основе	3	5
47	к себе	3	5
48	в этой	5	5
49	далеко не	4	5
50	точку зрения	4	4
51	матери и	2	4
52	во втором	3	4
53	прежде всего	11	4
54	в нем	4	4
55	у него	3	4
56	то же	7	4
57	но все	2	4
58	же время	5	4
59	было бы	6	4
60	как бы	11	4
61	все те	4	4
62	хотя бы	7	4
63	данном случае	3	4
64	те же	4	4
65	сказать что	6	4
66	только в	6	4
67	и с	7	4
68	не существует	3	3
69	не менее	3	3
70	жизни в	3	3
71	что в	6	3
72	могут быть	6	3
73	никогда не	7	3
74	из этих	4	3
75	в свою	2	3
76	тем не	2	3
77	ни в	6	3
78	одна из	3	3
79	в ней	5	3
80	он не	4	3
81	и даже	2	3
82	один из	4	3
83	с ее	3	3
84	в первом	2	3
85	жизни и	5	3
86	в ее	4	3
87	на него	4	3
88	этом отношении	2	3
89	как мы	10	3
90	сводится к	3	3
91	то или	2	3
92	и на	3	3
93	будто бы	2	3
94	между тем	2	3
95	на себя	2	3
96	в то	6	3
97	что это	3	3
98	или иное	2	2
99	он сам	4	2
100	себя и	3	2
101	между собой	4	2
102	в своем	2	2
103	оно не	2	2
104	не всегда	4	2
105	себе самом	3	2
106	в собственном	2	2
107	между ними	2	2
108	во внешнем	8	2
109	и тот	2	2
110	для него	5	2
111	она не	2	2
112	читателя в	3	2
113	и потому	8	2
114	и др	8	2
115	матери или	2	2
116	его жизни	6	2
117	во второй	5	2
118	время в	2	2
119	и до	3	2
120	приводит к	2	2
121	отношение к	7	2
122	как раз	2	2
123	и только	4	2
124	отношения к	2	2
125	не было	4	2
126	все эти	9	2
127	человека в	3	2
128	совершенно не	2	2
129	они не	2	2
130	самом деле	7	2
131	что мы	2	2
132	одним из	3	2
133	и для	2	2
134	с точки	10	2
135	это не	2	2
136	роль в	6	2
137	в таком	3	2
138	одно из	3	2
139	и ее	3	2
140	все то	2	2
141	и все	4	2
142	жизни но	2	2
143	его в	8	2
144	оно может	3	2
145	ничего не	2	2
146	таком случае	2	2
