N	2gram	Bakhtin_sl_2	Mirosoze
1	может быть	37	30
2	не только	24	29
3	и в	39	28
4	не может	20	28
5	но и	21	25
6	а не	14	25
7	он не	2	24
8	в этом	16	20
9	не было	2	18
10	у него	3	17
11	не в	9	16
12	в ней	3	15
13	никогда не	7	14
14	человека и	3	14
15	до конца	17	14
16	в нем	19	13
17	человека в	5	13
18	для него	7	11
19	и не	22	11
20	что в	3	10
21	в своем	6	10
22	прежде всего	8	10
23	и все	5	10
24	что он	2	10
25	и потому	7	10
26	человек в	6	9
27	но он	2	9
28	в его	7	9
29	и его	33	9
30	но не	6	8
31	человеке и	3	8
32	не был	2	7
33	но в	6	7
34	менее всего	2	7
35	к нему	3	7
36	в себе	2	7
37	должна быть	3	6
38	в том	5	6
39	все это	16	6
40	лишь в	3	6
41	и на	4	6
42	человек и	14	6
43	вместе с	2	6
44	только в	5	6
45	не могут	5	5
46	это не	5	5
47	тема о	2	5
48	мира и	5	5
49	как и	6	5
50	то что	2	5
51	уже в	2	4
52	в этих	7	4
53	не знает	2	4
54	отношение к	4	4
55	в их	2	4
56	отношения к	4	4
57	а в	4	4
58	точки зрения	8	4
59	и там	3	4
60	в них	6	4
61	один из	5	4
62	xix века	4	4
63	это и	2	4
64	от него	5	4
65	она не	6	4
66	за пределы	2	4
67	к ней	2	4
68	что и	3	4
69	уже не	5	4
70	себя и	4	3
71	для нас	5	3
72	в него	7	3
73	и их	5	3
74	в свете	3	3
75	только и	2	3
76	его не	4	3
77	особенно в	2	3
78	с этим	2	3
79	его в	4	3
80	так как	4	3
81	это очень	2	3
82	то есть	26	3
83	и с	9	3
84	на этом	3	3
85	с его	7	3
86	том что	5	3
87	мы увидим	2	3
88	конечно не	5	3
89	себя в	8	3
90	бы и	3	3
91	не была	3	3
92	хотя бы	3	3
93	может не	2	2
94	и мир	4	2
95	и от	3	2
96	его как	2	2
97	с их	3	2
98	темы о	6	2
99	и нет	2	2
100	в свою	3	2
101	для того	2	2
102	одним из	2	2
103	его романах	2	2
104	жизни и	6	2
105	могут быть	7	2
106	отличается от	2	2
107	по отношению	4	2
108	все эти	6	2
109	людей и	2	2
110	также и	2	2
111	сказать что	3	2
112	в более	2	2
113	даже и	4	2
114	к новому	3	2
115	в истории	11	2
116	проникает в	2	2
117	как бы	7	2
118	о том	2	2
119	как он	2	2
120	с ним	7	2
121	в основе	4	2
122	жизни в	2	2
123	во власти	2	2
124	отношению к	4	2
125	в то	4	2
126	чем в	2	2
127	все что	2	2
128	связано с	3	2
129	до сих	2	2
130	и к	6	2
131	как для	3	2
132	о нем	2	2
133	должен быть	2	2
134	все же	6	2
135	в свой	2	2
136	сих пор	2	2
137	как в	13	2
138	она может	2	2
139	входит в	4	2
140	в той	4	2
141	того чтобы	2	2
142	и как	3	2
143	и для	5	2
144	эти слова	2	2
145	на протяжении	2	2
146	отношении к	4	2
147	не все	2	2
