N	2gram	Berdyaev_N_1	Mirosoze
1	может быть	7	30
2	не только	5	29
3	и в	16	28
4	не может	16	28
5	но и	3	25
6	а не	17	25
7	он не	8	24
8	в этом	7	20
9	не было	4	18
10	у него	2	17
11	не в	6	16
12	потому что	4	16
13	в ней	5	15
14	в своей	3	15
15	и есть	10	14
16	никогда не	6	14
17	человека и	3	14
18	в нем	5	13
19	и это	2	12
20	и не	11	11
21	свободы в	2	11
22	что в	9	10
23	свободы и	2	10
24	в мире	3	10
25	во имя	15	10
26	прежде всего	4	10
27	и все	4	10
28	бога и	3	10
29	и потому	4	10
30	с тем	3	9
31	не есть	3	9
32	есть лишь	4	9
33	но не	2	8
34	быть может	4	7
35	но в	2	7
36	в себе	2	7
37	должна быть	3	6
38	в том	8	6
39	все это	5	6
40	лишь в	6	6
41	и на	2	6
42	вместе с	2	6
43	это не	4	5
44	если нет	2	5
45	мира и	2	5
46	как и	7	5
47	то что	4	5
48	нет и	2	5
49	не знал	2	4
50	не знает	6	4
51	смысле слова	3	4
52	не к	2	4
53	а в	2	4
54	духа и	3	4
55	свобода духа	2	4
56	в них	4	4
57	xix века	5	4
58	это и	2	4
59	она не	3	4
60	за пределы	3	4
61	новой истории	67	4
62	уже не	2	4
63	значит что	4	4
64	к тому	3	3
65	это есть	7	3
66	из глубины	2	3
67	не имеет	4	3
68	должно быть	4	3
69	с этим	2	3
70	и с	2	3
71	с его	6	3
72	к богу	2	3
73	в жизни	5	3
74	на путях	2	3
75	в ее	3	3
76	том что	2	3
77	конечно не	3	3
78	себя в	2	3
79	духовной жизни	2	3
80	духа в	2	3
81	хотя бы	2	3
82	место в	2	2
83	связана с	2	2
84	по своему	4	2
85	и от	2	2
86	вопрос о	3	2
87	с их	2	2
88	высшей степени	6	2
89	всемирной истории	2	2
90	и мы	4	2
91	истории в	5	2
92	возвращается к	2	2
93	жизни и	8	2
94	могут быть	2	2
95	все эти	2	2
96	и что	2	2
97	время как	2	2
98	сказать что	3	2
99	к новому	7	2
100	в истории	3	2
101	о том	4	2
102	в россии	3	2
103	не значит	3	2
104	когда мы	2	2
105	не существует	3	2
106	в основе	3	2
107	божественной жизни	2	2
108	жизни в	3	2
109	в высшей	6	2
110	этот мир	2	2
111	в духовной	2	2
112	в то	2	2
113	как будто	2	2
114	и к	5	2
115	нашей эпохи	3	2
116	должен быть	5	2
117	как в	3	2
118	мысли и	2	2
119	в наше	3	2
120	в центре	2	2
121	истории и	9	2
122	того чтобы	2	2
123	и для	4	2
124	гуманистическое самоутверждение	3	2
125	на протяжении	2	2
